Params: 0-nm= 7 , 1-n= 7 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.177 secs (0.177u,0.s) (success)
Params: 0-nm= 8 , 1-n= 1 , 2-m= 8
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.32 secs (0.317u,0.003s) (success)
Params: 0-nm= 8 , 1-n= 8 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.156 secs (0.156u,0.s) (success)
Params: 0-nm= 9 , 1-n= 1 , 2-m= 9
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.508 secs (0.504u,0.004s) (success)
Params: 0-nm= 9 , 1-n= 9 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.232 secs (0.231u,0.s) (success)
Params: 0-nm= 10 , 1-n= 1 , 2-m= 10
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.804 secs (0.8u,0.003s) (success)
Params: 0-nm= 10 , 1-n= 10 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.337 secs (0.337u,0.s) (success)
Params: 0-nm= 11 , 1-n= 1 , 2-m= 11
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 1.264 secs (1.264u,0.s) (success)
Params: 0-nm= 11 , 1-n= 11 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.473 secs (0.473u,0.s) (success)
Params: 0-nm= 12 , 1-n= 1 , 2-m= 12
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 1.938 secs (1.938u,0.s) (success)
Params: 0-nm= 12 , 1-n= 12 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.658 secs (0.658u,0.s) (success)
Params: 0-nm= 13 , 1-n= 1 , 2-m= 13
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 3.108 secs (3.108u,0.s) (success)
Params: 0-nm= 13 , 1-n= 13 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.924 secs (0.924u,0.s) (success)
Params: 0-nm= 14 , 1-n= 1 , 2-m= 14
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 4.77 secs (4.77u,0.s) (success)
Params: 0-nm= 14 , 1-n= 7 , 2-m= 2
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.535 secs (0.535u,0.s) (success)
Params: 0-nm= 14 , 1-n= 14 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 1.258 secs (1.258u,0.s) (success)
Params: 0-nm= 15 , 1-n= 1 , 2-m= 15
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 7.292 secs (7.288u,0.003s) (success)
Params: 0-nm= 15 , 1-n= 15 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 1.57 secs (1.566u,0.003s) (success)
Params: 0-nm= 16 , 1-n= 1 , 2-m= 16
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 11.088 secs (11.076u,0.012s) (success)
Params: 0-nm= 16 , 1-n= 2 , 2-m= 8
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 1.998 secs (1.998u,0.s) (success)
Params: 0-nm= 16 , 1-n= 8 , 2-m= 2
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.892 secs (0.892u,0.s) (success)
Params: 0-nm= 16 , 1-n= 16 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 2.112 secs (2.112u,0.s) (success)
Params: 0-nm= 17 , 1-n= 1 , 2-m= 17
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 17.061 secs (17.013u,0.048s) (success)
Params: 0-nm= 17 , 1-n= 17 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 2.637 secs (2.637u,0.s) (success)
Params: 0-nm= 19 , 1-n= 1 , 2-m= 19
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 39.682 secs (39.678u,0.003s) (success)
Params: 0-nm= 19 , 1-n= 19 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 4.153 secs (4.153u,0.s) (success)
Params: 0-nm= 20 , 1-n= 1 , 2-m= 20
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 60.599 secs (60.599u,0.s) (success)
Params: 0-nm= 20 , 1-n= 20 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 5.273 secs (5.273u,0.s) (success)
