Params: 0-nm= 5 , 1-n= 1 , 2-m= 5
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.139 secs (0.138u,0.s) (success)
Params: 0-nm= 6 , 1-n= 6 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.072 secs (0.072u,0.s) (success)
Params: 0-nm= 10 , 1-n= 2 , 2-m= 5
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.276 secs (0.275u,0.s) (success)
Params: 0-nm= 12 , 1-n= 6 , 2-m= 2
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.333 secs (0.333u,0.s) (success)
Params: 0-nm= 15 , 1-n= 3 , 2-m= 5
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.856 secs (0.851u,0.003s) (success)
Params: 0-nm= 18 , 1-n= 6 , 2-m= 3
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.244 secs (1.238u,0.003s) (success)
Params: 0-nm= 20 , 1-n= 4 , 2-m= 5
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 2.142 secs (2.14u,0.s) (success)
Params: 0-nm= 24 , 1-n= 6 , 2-m= 4
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 3.635 secs (3.626u,0.003s) (success)
Params: 0-nm= 25 , 1-n= 5 , 2-m= 5
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 4.754 secs (4.736u,0.011s) (success)
Params: 0-nm= 30 , 1-n= 6 , 2-m= 5
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 9.412 secs (9.402u,0.s) (success)
