Params: 0-nm= 6 , 1-n= 1 , 2-m= 6
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.194 secs (0.194u,0.s) (success)
Params: 0-nm= 7 , 1-n= 1 , 2-m= 7
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.191 secs (0.191u,0.s) (success)
Params: 0-nm= 12 , 1-n= 2 , 2-m= 6
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.554 secs (0.55u,0.003s) (success)
Params: 0-nm= 14 , 1-n= 2 , 2-m= 7
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 1.083 secs (1.083u,0.s) (success)
Params: 0-nm= 18 , 1-n= 3 , 2-m= 6
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 1.827 secs (1.827u,0.s) (success)
Params: 0-nm= 21 , 1-n= 3 , 2-m= 7
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 3.722 secs (3.718u,0.003s) (success)
Params: 0-nm= 24 , 1-n= 4 , 2-m= 6
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 4.807 secs (4.798u,0.007s) (success)
Params: 0-nm= 28 , 1-n= 4 , 2-m= 7
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 10.296 secs (10.291u,0.003s) (success)
Params: 0-nm= 30 , 1-n= 5 , 2-m= 6
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 11.004 secs (11.u,0.004s) (success)
Params: 0-nm= 35 , 1-n= 5 , 2-m= 7
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 23.341 secs (23.321u,0.019s) (success)
Params: 0-nm= 36 , 1-n= 6 , 2-m= 6
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 22.485 secs (22.481u,0.004s) (success)
Params: 0-nm= 42 , 1-n= 6 , 2-m= 7
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 48.623 secs (48.619u,0.003s) (success)
