Tactic call cbv;rewrite_strat(topdown) ran for 0.141 secs (0.139u,0.s) (success)
Params: n= 1 ,m= 58
Tactic call cbv;rewrite_strat(topdown) ran for 0.14 secs (0.14u,0.s) (success)
Params: n= 1 ,m= 59
Tactic call cbv;rewrite_strat(topdown) ran for 0.228 secs (0.228u,0.s) (success)
Params: n= 1 ,m= 60
Tactic call cbv;rewrite_strat(topdown) ran for 0.158 secs (0.16u,0.s) (success)
Params: n= 1 ,m= 61
Tactic call cbv;rewrite_strat(topdown) ran for 0.147 secs (0.147u,0.s) (success)
Params: n= 1 ,m= 62
Tactic call cbv;rewrite_strat(topdown) ran for 0.175 secs (0.176u,0.s) (success)
Params: n= 1 ,m= 63
Tactic call cbv;rewrite_strat(topdown) ran for 0.172 secs (0.171u,0.s) (success)
Params: n= 1 ,m= 64
Tactic call cbv;rewrite_strat(topdown) ran for 0.172 secs (0.172u,0.s) (success)
Params: n= 1 ,m= 65
Tactic call cbv;rewrite_strat(topdown) ran for 0.177 secs (0.176u,0.s) (success)
Params: n= 1 ,m= 66
Tactic call cbv;rewrite_strat(topdown) ran for 0.18 secs (0.172u,0.008s) (success)
Params: n= 1 ,m= 67
Tactic call cbv;rewrite_strat(topdown) ran for 0.172 secs (0.176u,0.s) (success)
Params: n= 1 ,m= 68
Tactic call cbv;rewrite_strat(topdown) ran for 0.181 secs (0.179u,0.s) (success)
Params: n= 1 ,m= 69
Tactic call cbv;rewrite_strat(topdown) ran for 0.176 secs (0.172u,0.003s) (success)
Params: n= 1 ,m= 70
Tactic call cbv;rewrite_strat(topdown) ran for 0.178 secs (0.176u,0.s) (success)
Params: n= 1 ,m= 71
Tactic call cbv;rewrite_strat(topdown) ran for 0.188 secs (0.183u,0.004s) (success)
Params: n= 1 ,m= 72
Tactic call cbv;rewrite_strat(topdown) ran for 0.196 secs (0.196u,0.s) (success)
Params: n= 1 ,m= 73
Tactic call cbv;rewrite_strat(topdown) ran for 0.204 secs (0.199u,0.004s) (success)
Params: n= 1 ,m= 74
Tactic call cbv;rewrite_strat(topdown) ran for 0.202 secs (0.204u,0.s) (success)
Params: n= 1 ,m= 75
Tactic call cbv;rewrite_strat(topdown) ran for 0.214 secs (0.215u,0.s) (success)
Params: n= 1 ,m= 76
Tactic call cbv;rewrite_strat(topdown) ran for 0.208 secs (0.199u,0.008s) (success)
Params: n= 1 ,m= 77
Tactic call cbv;rewrite_strat(topdown) ran for 0.212 secs (0.212u,0.s) (success)
Params: n= 1 ,m= 78
Tactic call cbv;rewrite_strat(topdown) ran for 0.239 secs (0.227u,0.008s) (success)
Params: n= 1 ,m= 79
Tactic call cbv;rewrite_strat(topdown) ran for 0.223 secs (0.211u,0.008s) (success)
Params: n= 1 ,m= 80
Tactic call cbv;rewrite_strat(topdown) ran for 0.246 secs (0.243u,0.s) (success)
Params: n= 1 ,m= 81
Tactic call cbv;rewrite_strat(topdown) ran for 0.248 secs (0.247u,0.s) (success)
Params: n= 1 ,m= 82
Tactic call cbv;rewrite_strat(topdown) ran for 0.254 secs (0.252u,0.s) (success)
Params: n= 1 ,m= 83
Tactic call cbv;rewrite_strat(topdown) ran for 0.263 secs (0.263u,0.s) (success)
Params: n= 1 ,m= 84
Tactic call cbv;rewrite_strat(topdown) ran for 0.276 secs (0.275u,0.004s) (success)
Params: n= 1 ,m= 85
Tactic call cbv;rewrite_strat(topdown) ran for 0.326 secs (0.324u,0.s) (success)
Params: n= 1 ,m= 86
Tactic call cbv;rewrite_strat(topdown) ran for 0.263 secs (0.259u,0.004s) (success)
Params: n= 1 ,m= 87
Tactic call cbv;rewrite_strat(topdown) ran for 0.266 secs (0.263u,0.s) (success)
Params: n= 1 ,m= 88
Tactic call cbv;rewrite_strat(topdown) ran for 0.274 secs (0.272u,0.004s) (success)
Params: n= 1 ,m= 89
Tactic call cbv;rewrite_strat(topdown) ran for 0.281 secs (0.284u,0.s) (success)
Params: n= 1 ,m= 90
Tactic call cbv;rewrite_strat(topdown) ran for 0.289 secs (0.288u,0.s) (success)
Params: n= 1 ,m= 91
Tactic call cbv;rewrite_strat(topdown) ran for 0.293 secs (0.291u,0.003s) (success)
Params: n= 1 ,m= 92
Tactic call cbv;rewrite_strat(topdown) ran for 0.296 secs (0.295u,0.s) (success)
Params: n= 1 ,m= 93
Tactic call cbv;rewrite_strat(topdown) ran for 0.305 secs (0.304u,0.s) (success)
Params: n= 1 ,m= 94
Tactic call cbv;rewrite_strat(topdown) ran for 0.304 secs (0.304u,0.s) (success)
Params: n= 1 ,m= 95
Tactic call cbv;rewrite_strat(topdown) ran for 0.314 secs (0.315u,0.s) (success)
Params: n= 1 ,m= 96
Tactic call cbv;rewrite_strat(topdown) ran for 0.324 secs (0.324u,0.s) (success)
Params: n= 1 ,m= 97
Tactic call cbv;rewrite_strat(topdown) ran for 0.343 secs (0.344u,0.s) (success)
Params: n= 1 ,m= 98
Tactic call cbv;rewrite_strat(topdown) ran for 0.416 secs (0.419u,0.s) (success)
Params: n= 1 ,m= 99
Tactic call cbv;rewrite_strat(topdown) ran for 0.381 secs (0.379u,0.s) (success)
Params: n= 1 ,m= 100
Tactic call cbv;rewrite_strat(topdown) ran for 0.356 secs (0.356u,0.s) (success)
Params: n= 1 ,m= 101
Tactic call cbv;rewrite_strat(topdown) ran for 0.368 secs (0.367u,0.004s) (success)
Params: n= 1 ,m= 102
Tactic call cbv;rewrite_strat(topdown) ran for 0.357 secs (0.356u,0.s) (success)
Params: n= 1 ,m= 103
Tactic call cbv;rewrite_strat(topdown) ran for 0.373 secs (0.371u,0.004s) (success)
Params: n= 1 ,m= 104
Tactic call cbv;rewrite_strat(topdown) ran for 0.379 secs (0.379u,0.s) (success)
Params: n= 1 ,m= 105
Tactic call cbv;rewrite_strat(topdown) ran for 0.388 secs (0.388u,0.s) (success)
Params: n= 1 ,m= 106
Tactic call cbv;rewrite_strat(topdown) ran for 0.392 secs (0.391u,0.s) (success)
Params: n= 1 ,m= 107
Tactic call cbv;rewrite_strat(topdown) ran for 0.386 secs (0.384u,0.s) (success)
Params: n= 1 ,m= 108
Tactic call cbv;rewrite_strat(topdown) ran for 0.43 secs (0.432u,0.s) (success)
Params: n= 1 ,m= 109
Tactic call cbv;rewrite_strat(topdown) ran for 0.492 secs (0.491u,0.s) (success)
Params: n= 1 ,m= 110
Tactic call cbv;rewrite_strat(topdown) ran for 0.463 secs (0.46u,0.s) (success)
Params: n= 1 ,m= 111
Tactic call cbv;rewrite_strat(topdown) ran for 0.436 secs (0.436u,0.s) (success)
Params: n= 1 ,m= 112
Tactic call cbv;rewrite_strat(topdown) ran for 0.422 secs (0.423u,0.s) (success)
Params: n= 1 ,m= 113
Tactic call cbv;rewrite_strat(topdown) ran for 0.469 secs (0.468u,0.s) (success)
Params: n= 1 ,m= 114
Tactic call cbv;rewrite_strat(topdown) ran for 0.45 secs (0.448u,0.s) (success)
Params: n= 1 ,m= 115
Tactic call cbv;rewrite_strat(topdown) ran for 0.453 secs (0.455u,0.s) (success)
Params: n= 1 ,m= 116
Tactic call cbv;rewrite_strat(topdown) ran for 0.454 secs (0.452u,0.s) (success)
Params: n= 1 ,m= 117
Tactic call cbv;rewrite_strat(topdown) ran for 0.462 secs (0.46u,0.s) (success)
Params: n= 1 ,m= 118
Tactic call cbv;rewrite_strat(topdown) ran for 0.471 secs (0.468u,0.s) (success)
Params: n= 1 ,m= 119
Tactic call cbv;rewrite_strat(topdown) ran for 0.597 secs (0.596u,0.s) (success)
Params: n= 1 ,m= 120
Tactic call cbv;rewrite_strat(topdown) ran for 0.564 secs (0.564u,0.s) (success)
Params: n= 1 ,m= 121
Tactic call cbv;rewrite_strat(topdown) ran for 0.494 secs (0.496u,0.s) (success)
Params: n= 1 ,m= 122
Tactic call cbv;rewrite_strat(topdown) ran for 0.499 secs (0.5u,0.s) (success)
Params: n= 1 ,m= 123
Tactic call cbv;rewrite_strat(topdown) ran for 0.67 secs (0.672u,0.s) (success)
Params: n= 1 ,m= 124
Tactic call cbv;rewrite_strat(topdown) ran for 0.534 secs (0.535u,0.s) (success)
Params: n= 1 ,m= 125
Tactic call cbv;rewrite_strat(topdown) ran for 0.521 secs (0.519u,0.s) (success)
Params: n= 1 ,m= 126
