Tactic call Rewrite_for_gen ran for 1.148 secs (1.151u,0.s) (success)
Tactic call Rewrite_lhs_for ran for 1.148 secs (1.151u,0.s) (success)
Params: n= 10 ,m= 25
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.003u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.008u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.004u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.143 secs (0.14u,0.s) (success)
Tactic call reification ran for 0.15 secs (0.147u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.01 secs (0.011u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.004 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.021 secs (0.024u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 0.918 secs (0.911u,0.004s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.004 secs (0.004u,0.s) (success)
Tactic call rewriting ran for 0.947 secs (0.94u,0.004s) (success)
Tactic call final_cbv ran for 0.072 secs (0.071u,0.004s) (success)
Tactic call Rewrite_for_gen ran for 1.191 secs (1.184u,0.008s) (success)
Tactic call Rewrite_lhs_for ran for 1.191 secs (1.184u,0.008s) (success)
Params: n= 10 ,m= 26
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.004u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.014 secs (0.012u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.183 secs (0.176u,0.008s) (success)
Tactic call reification ran for 0.19 secs (0.184u,0.008s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.002 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.007u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.009 secs (0.012u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.023 secs (0.024u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 0.934 secs (0.931u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.005 secs (0.008u,0.s) (success)
Tactic call rewriting ran for 0.966 secs (0.968u,0.s) (success)
Tactic call final_cbv ran for 0.076 secs (0.076u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.259 secs (1.252u,0.008s) (success)
Tactic call Rewrite_lhs_for ran for 1.259 secs (1.252u,0.008s) (success)
Params: n= 10 ,m= 27
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.003u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.008u,0.s) (success)
