Params: n= 1 ,m= 4
Tactic call cbv;setoid_rewrite ran for 0.101 secs (0.103u,0.s) (success)
Params: n= 1 ,m= 5
Tactic call cbv;setoid_rewrite ran for 0.025 secs (0.024u,0.s) (success)
Params: n= 1 ,m= 6
Tactic call cbv;setoid_rewrite ran for 0.031 secs (0.032u,0.s) (success)
Params: n= 1 ,m= 7
Tactic call cbv;setoid_rewrite ran for 0.066 secs (0.068u,0.s) (success)
Params: n= 1 ,m= 8
Tactic call cbv;setoid_rewrite ran for 0.043 secs (0.044u,0.s) (success)
Params: n= 1 ,m= 9
Tactic call cbv;setoid_rewrite ran for 0.052 secs (0.052u,0.s) (success)
Params: n= 1 ,m= 10
Tactic call cbv;setoid_rewrite ran for 0.056 secs (0.056u,0.s) (success)
Params: n= 1 ,m= 11
Tactic call cbv;setoid_rewrite ran for 0.063 secs (0.064u,0.s) (success)
Params: n= 1 ,m= 12
Tactic call cbv;setoid_rewrite ran for 0.067 secs (0.067u,0.s) (success)
Params: n= 1 ,m= 13
Tactic call cbv;setoid_rewrite ran for 0.073 secs (0.071u,0.s) (success)
Params: n= 1 ,m= 14
Tactic call cbv;setoid_rewrite ran for 0.08 secs (0.08u,0.s) (success)
Params: n= 1 ,m= 15
Tactic call cbv;setoid_rewrite ran for 0.086 secs (0.088u,0.s) (success)
Params: n= 1 ,m= 16
Tactic call cbv;setoid_rewrite ran for 0.095 secs (0.096u,0.s) (success)
Params: n= 1 ,m= 17
Tactic call cbv;setoid_rewrite ran for 0.101 secs (0.1u,0.s) (success)
Params: n= 1 ,m= 18
Tactic call cbv;setoid_rewrite ran for 0.108 secs (0.111u,0.s) (success)
Params: n= 1 ,m= 19
Tactic call cbv;setoid_rewrite ran for 0.115 secs (0.112u,0.s) (success)
Params: n= 1 ,m= 20
Tactic call cbv;setoid_rewrite ran for 0.126 secs (0.124u,0.s) (success)
Params: n= 1 ,m= 21
Tactic call cbv;setoid_rewrite ran for 0.129 secs (0.132u,0.s) (success)
Params: n= 1 ,m= 22
Tactic call cbv;setoid_rewrite ran for 0.134 secs (0.135u,0.s) (success)
Params: n= 1 ,m= 23
Tactic call cbv;setoid_rewrite ran for 0.144 secs (0.144u,0.s) (success)
Params: n= 1 ,m= 24
Tactic call cbv;setoid_rewrite ran for 0.155 secs (0.156u,0.s) (success)
Params: n= 1 ,m= 25
Tactic call cbv;setoid_rewrite ran for 0.165 secs (0.163u,0.s) (success)
Params: n= 1 ,m= 26
Tactic call cbv;setoid_rewrite ran for 0.17 secs (0.172u,0.s) (success)
Params: n= 1 ,m= 27
Tactic call cbv;setoid_rewrite ran for 0.173 secs (0.175u,0.s) (success)
Params: n= 1 ,m= 28
Tactic call cbv;setoid_rewrite ran for 0.19 secs (0.188u,0.s) (success)
Params: n= 1 ,m= 29
Tactic call cbv;setoid_rewrite ran for 0.195 secs (0.192u,0.s) (success)
Params: n= 1 ,m= 30
Tactic call cbv;setoid_rewrite ran for 0.204 secs (0.204u,0.s) (success)
Params: n= 1 ,m= 31
Tactic call cbv;setoid_rewrite ran for 0.209 secs (0.208u,0.s) (success)
Params: n= 1 ,m= 32
Tactic call cbv;setoid_rewrite ran for 0.226 secs (0.227u,0.s) (success)
Params: n= 1 ,m= 33
Tactic call cbv;setoid_rewrite ran for 0.232 secs (0.232u,0.s) (success)
Params: n= 1 ,m= 34
Tactic call cbv;setoid_rewrite ran for 0.237 secs (0.239u,0.s) (success)
Params: n= 1 ,m= 35
Tactic call cbv;setoid_rewrite ran for 0.246 secs (0.244u,0.s) (success)
Params: n= 1 ,m= 36
Tactic call cbv;setoid_rewrite ran for 0.257 secs (0.256u,0.s) (success)
Params: n= 1 ,m= 37
Tactic call cbv;setoid_rewrite ran for 0.267 secs (0.267u,0.s) (success)
Params: n= 1 ,m= 38
Tactic call cbv;setoid_rewrite ran for 0.276 secs (0.275u,0.s) (success)
Params: n= 1 ,m= 39
Tactic call cbv;setoid_rewrite ran for 0.287 secs (0.288u,0.s) (success)
Params: n= 1 ,m= 40
Tactic call cbv;setoid_rewrite ran for 0.291 secs (0.292u,0.s) (success)
Params: n= 1 ,m= 41
Tactic call cbv;setoid_rewrite ran for 0.31 secs (0.307u,0.s) (success)
Params: n= 1 ,m= 42
Tactic call cbv;setoid_rewrite ran for 0.313 secs (0.316u,0.s) (success)
Params: n= 1 ,m= 43
Tactic call cbv;setoid_rewrite ran for 0.328 secs (0.327u,0.s) (success)
Params: n= 1 ,m= 44
Tactic call cbv;setoid_rewrite ran for 0.337 secs (0.339u,0.s) (success)
Params: n= 1 ,m= 45
Tactic call cbv;setoid_rewrite ran for 0.349 secs (0.348u,0.s) (success)
Params: n= 1 ,m= 46
Tactic call cbv;setoid_rewrite ran for 0.357 secs (0.355u,0.s) (success)
Params: n= 1 ,m= 47
Tactic call cbv;setoid_rewrite ran for 0.359 secs (0.355u,0.s) (success)
Params: n= 1 ,m= 48
Tactic call cbv;setoid_rewrite ran for 0.37 secs (0.368u,0.s) (success)
Params: n= 1 ,m= 49
Tactic call cbv;setoid_rewrite ran for 0.385 secs (0.387u,0.s) (success)
Params: n= 1 ,m= 50
Tactic call cbv;setoid_rewrite ran for 0.395 secs (0.395u,0.s) (success)
Params: n= 1 ,m= 51
Tactic call cbv;setoid_rewrite ran for 0.41 secs (0.407u,0.004s) (success)
Params: n= 1 ,m= 52
Tactic call cbv;setoid_rewrite ran for 0.416 secs (0.416u,0.s) (success)
Params: n= 1 ,m= 53
Tactic call cbv;setoid_rewrite ran for 0.438 secs (0.439u,0.s) (success)
Params: n= 1 ,m= 54
Tactic call cbv;setoid_rewrite ran for 0.44 secs (0.44u,0.s) (success)
Params: n= 1 ,m= 55
Tactic call cbv;setoid_rewrite ran for 0.455 secs (0.451u,0.004s) (success)
Params: n= 1 ,m= 56
Tactic call cbv;setoid_rewrite ran for 0.466 secs (0.468u,0.s) (success)
Params: n= 1 ,m= 57
Tactic call cbv;setoid_rewrite ran for 0.476 secs (0.475u,0.s) (success)
Params: n= 1 ,m= 58
Tactic call cbv;setoid_rewrite ran for 0.498 secs (0.5u,0.s) (success)
Params: n= 1 ,m= 59
Tactic call cbv;setoid_rewrite ran for 0.507 secs (0.508u,0.s) (success)
Params: n= 1 ,m= 60
Tactic call cbv;setoid_rewrite ran for 0.52 secs (0.519u,0.s) (success)
Params: n= 1 ,m= 61
Tactic call cbv;setoid_rewrite ran for 0.525 secs (0.524u,0.s) (success)
Params: n= 1 ,m= 62
Tactic call cbv;setoid_rewrite ran for 0.537 secs (0.536u,0.s) (success)
Params: n= 1 ,m= 63
Tactic call cbv;setoid_rewrite ran for 0.544 secs (0.544u,0.s) (success)
Params: n= 1 ,m= 64
Tactic call cbv;setoid_rewrite ran for 0.546 secs (0.547u,0.s) (success)
Params: n= 1 ,m= 65
Tactic call cbv;setoid_rewrite ran for 0.564 secs (0.564u,0.s) (success)
Params: n= 1 ,m= 66
Tactic call cbv;setoid_rewrite ran for 0.576 secs (0.568u,0.008s) (success)
Params: n= 1 ,m= 67
Tactic call cbv;setoid_rewrite ran for 0.59 secs (0.591u,0.s) (success)
Params: n= 1 ,m= 68
Tactic call cbv;setoid_rewrite ran for 0.598 secs (0.596u,0.004s) (success)
Params: n= 1 ,m= 69
Tactic call cbv;setoid_rewrite ran for 0.615 secs (0.615u,0.s) (success)
Params: n= 1 ,m= 70
Tactic call cbv;setoid_rewrite ran for 0.628 secs (0.624u,0.004s) (success)
Params: n= 1 ,m= 71
Tactic call cbv;setoid_rewrite ran for 0.643 secs (0.64u,0.004s) (success)
Params: n= 1 ,m= 72
Tactic call cbv;setoid_rewrite ran for 0.652 secs (0.655u,0.s) (success)
Params: n= 1 ,m= 73
Tactic call cbv;setoid_rewrite ran for 0.655 secs (0.655u,0.s) (success)
Params: n= 1 ,m= 74
Tactic call cbv;setoid_rewrite ran for 0.68 secs (0.679u,0.s) (success)
Params: n= 1 ,m= 75
Tactic call cbv;setoid_rewrite ran for 0.698 secs (0.699u,0.s) (success)
Params: n= 1 ,m= 76
Tactic call cbv;setoid_rewrite ran for 0.718 secs (0.716u,0.s) (success)
Params: n= 1 ,m= 77
Tactic call cbv;setoid_rewrite ran for 0.731 secs (0.731u,0.s) (success)
Params: n= 1 ,m= 78
Tactic call cbv;setoid_rewrite ran for 0.743 secs (0.739u,0.s) (success)
Params: n= 1 ,m= 79
Tactic call cbv;setoid_rewrite ran for 0.773 secs (0.772u,0.s) (success)
Params: n= 1 ,m= 80
Tactic call cbv;setoid_rewrite ran for 0.796 secs (0.795u,0.s) (success)
Params: n= 1 ,m= 81
Tactic call cbv;setoid_rewrite ran for 0.8 secs (0.791u,0.008s) (success)
Params: n= 1 ,m= 82
Tactic call cbv;setoid_rewrite ran for 0.807 secs (0.807u,0.s) (success)
Params: n= 1 ,m= 83
Tactic call cbv;setoid_rewrite ran for 0.802 secs (0.8u,0.s) (success)
Params: n= 1 ,m= 84
Tactic call cbv;setoid_rewrite ran for 0.825 secs (0.82u,0.004s) (success)
Params: n= 1 ,m= 85
Tactic call cbv;setoid_rewrite ran for 0.837 secs (0.836u,0.s) (success)
Params: n= 1 ,m= 86
Tactic call cbv;setoid_rewrite ran for 0.847 secs (0.847u,0.s) (success)
Params: n= 1 ,m= 87
Tactic call cbv;setoid_rewrite ran for 0.861 secs (0.859u,0.s) (success)
Params: n= 1 ,m= 88
Tactic call cbv;setoid_rewrite ran for 0.873 secs (0.871u,0.s) (success)
Params: n= 1 ,m= 89
