Params: n= 1 ,m= 4
Tactic call cbv;rewrite! ran for 0.001 secs (0.u,0.s) (success)
Params: n= 1 ,m= 5
Tactic call cbv;rewrite! ran for 0.002 secs (0.004u,0.s) (success)
Params: n= 1 ,m= 6
Tactic call cbv;rewrite! ran for 0.002 secs (0.u,0.s) (success)
Params: n= 1 ,m= 7
Tactic call cbv;rewrite! ran for 0.003 secs (0.003u,0.s) (success)
Params: n= 1 ,m= 8
Tactic call cbv;rewrite! ran for 0.003 secs (0.004u,0.s) (success)
Params: n= 1 ,m= 9
Tactic call cbv;rewrite! ran for 0.004 secs (0.008u,0.s) (success)
Params: n= 1 ,m= 10
Tactic call cbv;rewrite! ran for 0.005 secs (0.003u,0.s) (success)
Params: n= 1 ,m= 11
Tactic call cbv;rewrite! ran for 0.005 secs (0.004u,0.s) (success)
Params: n= 1 ,m= 12
Tactic call cbv;rewrite! ran for 0.006 secs (0.004u,0.s) (success)
Params: n= 1 ,m= 13
Tactic call cbv;rewrite! ran for 0.007 secs (0.008u,0.s) (success)
Params: n= 1 ,m= 14
Tactic call cbv;rewrite! ran for 0.008 secs (0.008u,0.s) (success)
Params: n= 1 ,m= 15
Tactic call cbv;rewrite! ran for 0.009 secs (0.008u,0.s) (success)
Params: n= 1 ,m= 16
Tactic call cbv;rewrite! ran for 0.01 secs (0.012u,0.s) (success)
Params: n= 1 ,m= 17
Tactic call cbv;rewrite! ran for 0.011 secs (0.011u,0.s) (success)
Params: n= 1 ,m= 18
Tactic call cbv;rewrite! ran for 0.016 secs (0.016u,0.s) (success)
Params: n= 1 ,m= 19
Tactic call cbv;rewrite! ran for 0.013 secs (0.012u,0.s) (success)
Params: n= 1 ,m= 20
Tactic call cbv;rewrite! ran for 0.014 secs (0.016u,0.s) (success)
Params: n= 1 ,m= 21
Tactic call cbv;rewrite! ran for 0.015 secs (0.016u,0.s) (success)
Params: n= 1 ,m= 22
Tactic call cbv;rewrite! ran for 0.016 secs (0.016u,0.s) (success)
Params: n= 1 ,m= 23
Tactic call cbv;rewrite! ran for 0.019 secs (0.019u,0.s) (success)
Params: n= 1 ,m= 24
Tactic call cbv;rewrite! ran for 0.019 secs (0.02u,0.s) (success)
Params: n= 1 ,m= 25
Tactic call cbv;rewrite! ran for 0.02 secs (0.019u,0.s) (success)
Params: n= 1 ,m= 26
Tactic call cbv;rewrite! ran for 0.022 secs (0.024u,0.s) (success)
Params: n= 1 ,m= 27
Tactic call cbv;rewrite! ran for 0.024 secs (0.024u,0.s) (success)
Params: n= 1 ,m= 28
Tactic call cbv;rewrite! ran for 0.024 secs (0.027u,0.s) (success)
Params: n= 1 ,m= 29
Tactic call cbv;rewrite! ran for 0.027 secs (0.028u,0.s) (success)
Params: n= 1 ,m= 30
Tactic call cbv;rewrite! ran for 0.027 secs (0.027u,0.s) (success)
Params: n= 1 ,m= 31
Tactic call cbv;rewrite! ran for 0.029 secs (0.028u,0.s) (success)
Params: n= 1 ,m= 32
Tactic call cbv;rewrite! ran for 0.032 secs (0.032u,0.s) (success)
Params: n= 1 ,m= 33
Tactic call cbv;rewrite! ran for 0.035 secs (0.035u,0.s) (success)
Params: n= 1 ,m= 34
Tactic call cbv;rewrite! ran for 0.035 secs (0.036u,0.s) (success)
Params: n= 1 ,m= 35
Tactic call cbv;rewrite! ran for 0.036 secs (0.035u,0.s) (success)
Params: n= 1 ,m= 36
Tactic call cbv;rewrite! ran for 0.038 secs (0.04u,0.s) (success)
Params: n= 1 ,m= 37
Tactic call cbv;rewrite! ran for 0.039 secs (0.04u,0.s) (success)
Params: n= 1 ,m= 38
Tactic call cbv;rewrite! ran for 0.042 secs (0.044u,0.s) (success)
Params: n= 1 ,m= 39
Tactic call cbv;rewrite! ran for 0.043 secs (0.043u,0.s) (success)
Params: n= 1 ,m= 40
Tactic call cbv;rewrite! ran for 0.046 secs (0.043u,0.s) (success)
Params: n= 1 ,m= 41
Tactic call cbv;rewrite! ran for 0.049 secs (0.047u,0.s) (success)
Params: n= 1 ,m= 42
Tactic call cbv;rewrite! ran for 0.051 secs (0.052u,0.s) (success)
Params: n= 1 ,m= 43
Tactic call cbv;rewrite! ran for 0.053 secs (0.051u,0.s) (success)
Params: n= 1 ,m= 44
Tactic call cbv;rewrite! ran for 0.057 secs (0.06u,0.s) (success)
Params: n= 1 ,m= 45
Tactic call cbv;rewrite! ran for 0.058 secs (0.059u,0.s) (success)
Params: n= 1 ,m= 46
Tactic call cbv;rewrite! ran for 0.059 secs (0.06u,0.s) (success)
Params: n= 1 ,m= 47
Tactic call cbv;rewrite! ran for 0.064 secs (0.064u,0.s) (success)
Params: n= 1 ,m= 48
Tactic call cbv;rewrite! ran for 0.064 secs (0.064u,0.s) (success)
Params: n= 1 ,m= 49
Tactic call cbv;rewrite! ran for 0.065 secs (0.067u,0.s) (success)
Params: n= 1 ,m= 50
Tactic call cbv;rewrite! ran for 0.069 secs (0.067u,0.s) (success)
Params: n= 1 ,m= 51
Tactic call cbv;rewrite! ran for 0.072 secs (0.072u,0.004s) (success)
Params: n= 1 ,m= 52
Tactic call cbv;rewrite! ran for 0.075 secs (0.076u,0.s) (success)
Params: n= 1 ,m= 53
Tactic call cbv;rewrite! ran for 0.079 secs (0.08u,0.s) (success)
Params: n= 1 ,m= 54
Tactic call cbv;rewrite! ran for 0.082 secs (0.08u,0.s) (success)
Params: n= 1 ,m= 55
Tactic call cbv;rewrite! ran for 0.085 secs (0.083u,0.s) (success)
Params: n= 1 ,m= 56
Tactic call cbv;rewrite! ran for 0.087 secs (0.087u,0.s) (success)
Params: n= 1 ,m= 57
Tactic call cbv;rewrite! ran for 0.09 secs (0.092u,0.s) (success)
Params: n= 1 ,m= 58
Tactic call cbv;rewrite! ran for 0.093 secs (0.092u,0.s) (success)
Params: n= 1 ,m= 59
Tactic call cbv;rewrite! ran for 0.094 secs (0.096u,0.s) (success)
Params: n= 1 ,m= 60
Tactic call cbv;rewrite! ran for 0.096 secs (0.096u,0.s) (success)
Params: n= 1 ,m= 61
Tactic call cbv;rewrite! ran for 0.102 secs (0.103u,0.s) (success)
Params: n= 1 ,m= 62
Tactic call cbv;rewrite! ran for 0.106 secs (0.108u,0.s) (success)
Params: n= 1 ,m= 63
Tactic call cbv;rewrite! ran for 0.109 secs (0.108u,0.s) (success)
Params: n= 1 ,m= 64
