Params: n= 1 ,m= 4
Tactic call cbv;rewrite_strat(bottomup) ran for 0.033 secs (0.032u,0.004s) (success)
Params: n= 1 ,m= 5
Tactic call cbv;rewrite_strat(bottomup) ran for 0.125 secs (0.124u,0.s) (success)
Params: n= 1 ,m= 6
Tactic call cbv;rewrite_strat(bottomup) ran for 0.066 secs (0.064u,0.004s) (success)
Params: n= 1 ,m= 7
Tactic call cbv;rewrite_strat(bottomup) ran for 0.063 secs (0.063u,0.s) (success)
Params: n= 1 ,m= 8
Tactic call cbv;rewrite_strat(bottomup) ran for 0.08 secs (0.08u,0.s) (success)
Params: n= 1 ,m= 9
Tactic call cbv;rewrite_strat(bottomup) ran for 0.082 secs (0.083u,0.s) (success)
Params: n= 1 ,m= 10
Tactic call cbv;rewrite_strat(bottomup) ran for 0.096 secs (0.096u,0.s) (success)
Params: n= 1 ,m= 11
Tactic call cbv;rewrite_strat(bottomup) ran for 0.109 secs (0.112u,0.s) (success)
Params: n= 1 ,m= 12
Tactic call cbv;rewrite_strat(bottomup) ran for 0.117 secs (0.116u,0.s) (success)
Params: n= 1 ,m= 13
Tactic call cbv;rewrite_strat(bottomup) ran for 0.125 secs (0.127u,0.s) (success)
Params: n= 1 ,m= 14
Tactic call cbv;rewrite_strat(bottomup) ran for 0.131 secs (0.132u,0.s) (success)
Params: n= 1 ,m= 15
Tactic call cbv;rewrite_strat(bottomup) ran for 0.144 secs (0.144u,0.s) (success)
Params: n= 1 ,m= 16
Tactic call cbv;rewrite_strat(bottomup) ran for 0.158 secs (0.159u,0.s) (success)
Params: n= 1 ,m= 17
Tactic call cbv;rewrite_strat(bottomup) ran for 0.182 secs (0.184u,0.s) (success)
Params: n= 1 ,m= 18
Tactic call cbv;rewrite_strat(bottomup) ran for 0.189 secs (0.188u,0.s) (success)
Params: n= 1 ,m= 19
Tactic call cbv;rewrite_strat(bottomup) ran for 0.195 secs (0.195u,0.s) (success)
Params: n= 1 ,m= 20
Tactic call cbv;rewrite_strat(bottomup) ran for 0.225 secs (0.224u,0.004s) (success)
Params: n= 1 ,m= 21
Tactic call cbv;rewrite_strat(bottomup) ran for 0.235 secs (0.236u,0.s) (success)
Params: n= 1 ,m= 22
Tactic call cbv;rewrite_strat(bottomup) ran for 0.26 secs (0.259u,0.s) (success)
Params: n= 1 ,m= 23
Tactic call cbv;rewrite_strat(bottomup) ran for 0.253 secs (0.251u,0.004s) (success)
Params: n= 1 ,m= 24
