tree depth,extra +0s per node,term size,term size+29,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite!,cbv;setoid_rewrite,cbv;rewrite_strat(topdown),cbv;rewrite_strat(bottomup)
5,22,1450,3306,0.231,0.055,0.028,0.583,7.188,2.12,
1,483,1453,1569,0.283,0.06,0.024,6.451,,8.059,
1,484,1456,1572,0.276,0.048,0.012,6.36,,7.615,
3,96,1456,1920,0.232,0.043,0.019,2.144,,4.132,
2,207,1457,1689,0.259,0.059,0.027,3.835,,6.064,
4,46,1458,2386,0.224,0.039,0.019,1.259,,2.951,
1,485,1459,1575,0.271,0.048,0.016,6.563,,7.576,
1,486,1462,1578,0.276,0.044,0.012,6.42,,7.844,
2,208,1464,1696,0.252,0.056,0.024,4.06,,6.271,
1,487,1465,1581,0.271,0.048,0.012,6.595,,7.915,
1,488,1468,1584,0.276,0.048,0.012,6.552,,7.884,
1,489,1471,1587,0.279,0.048,0.012,6.611,,7.98,
2,209,1471,1703,0.259,0.056,0.024,3.911,,6.4,
3,97,1471,1935,0.235,0.048,0.02,2.295,,4.015,
1,490,1474,1590,0.276,0.052,0.016,6.7,,7.983,
1,491,1477,1593,0.279,0.048,0.016,6.587,,8.031,
2,210,1478,1710,0.271,0.067,0.031,4.003,,6.415,
1,492,1480,1596,0.28,0.052,0.012,6.711,,8.067,
1,493,1483,1599,0.283,0.052,0.016,6.708,,8.091,
2,211,1485,1717,0.255,0.055,0.024,4.196,,6.408,
1,494,1486,1602,0.283,0.056,0.024,6.731,,8.148,
3,98,1486,1950,0.243,0.048,0.016,2.356,,4.336,
1,495,1489,1605,0.292,0.06,0.024,6.839,,8.24,
4,47,1489,2417,0.215,0.039,0.023,1.284,,3.255,
1,496,1492,1608,0.275,0.048,0.015,6.72,,8.136,
2,212,1492,1724,0.268,0.059,0.024,4.035,,7.159,
1,497,1495,1611,0.271,0.048,0.012,6.899,,8.171,
1,498,1498,1614,0.276,0.048,0.016,6.819,,8.292,
2,213,1499,1731,0.268,0.06,0.024,4.148,,6.299,
1,499,1501,1617,0.276,0.048,0.016,6.895,,8.268,
3,99,1501,1965,0.244,0.043,0.019,2.456,,4.208,
1,500,1504,1620,0.279,0.052,0.016,6.98,,8.291,
2,214,1506,1738,0.268,0.056,0.024,4.28,,6.388,
1,501,1507,1623,0.279,0.051,0.015,6.859,,8.344,
1,502,1510,1626,0.28,0.048,0.016,7.052,,8.347,
1,503,1513,1629,0.279,0.048,0.015,6.991,,8.392,
2,215,1513,1745,0.267,0.059,0.024,4.215,,6.583,
5,23,1513,3369,0.235,0.051,0.028,0.644,7.832,2.251,
1,504,1516,1632,0.28,0.048,0.012,7.067,,8.4,
3,100,1516,1980,0.235,0.048,0.019,2.539,,4.46,
1,505,1519,1635,0.275,0.048,0.015,7.127,,8.483,
2,216,1520,1752,0.272,0.059,0.028,4.248,,6.795,
4,48,1520,2448,0.224,0.044,0.019,1.744,,3.195,
1,506,1522,1638,0.276,0.048,0.012,7.02,,8.504,
1,507,1525,1641,0.279,0.052,0.016,7.207,,8.552,
6,11,1525,5237,0.248,0.076,0.056,0.339,6.119,1.907,
2,217,1527,1759,0.268,0.06,0.024,4.427,,6.888,
1,508,1528,1644,0.28,0.052,0.016,7.1,,8.567,
1,509,1531,1647,0.283,0.052,0.012,7.231,,8.587,
3,101,1531,1995,0.235,0.048,0.019,2.447,,4.347,
7,5,1531,8955,0.283,0.108,0.084,0.195,4.799,1.612,
1,510,1534,1650,0.279,0.052,0.016,7.268,,8.579,
2,218,1534,1766,0.268,0.06,0.016,4.28,,6.844,
8,2,1534,16382,0.371,0.176,0.152,0.088,3.392,1.591,16.8
1,511,1537,1653,0.283,0.051,0.015,7.175,,8.672,
1,512,1540,1656,0.279,0.051,0.015,7.347,,8.699,
2,219,1541,1773,0.275,0.056,0.015,4.411,,7.599,
1,513,1543,1659,0.284,0.052,0.016,7.244,,8.731,
1,514,1546,1662,0.283,0.048,0.012,7.339,,8.707,
3,102,1546,2010,0.24,0.048,0.015,2.456,,4.635,
2,220,1548,1780,0.275,0.056,0.016,4.512,,6.659,
1,515,1549,1665,0.283,0.052,0.012,7.395,,8.703,
4,49,1551,2479,0.231,0.048,0.024,1.483,,4.064,
1,516,1552,1668,0.279,0.051,0.015,7.283,,8.796,
1,517,1555,1671,0.283,0.051,0.015,7.484,,8.776,
2,221,1555,1787,0.272,0.056,0.019,4.407,,6.84,
1,518,1558,1674,0.28,0.052,0.016,7.391,,8.796,
1,519,1561,1677,0.279,0.048,0.015,7.488,,8.888,
3,103,1561,2025,0.235,0.048,0.019,2.675,,4.523,
2,222,1562,1794,0.275,0.055,0.019,4.619,,7.688,
1,520,1564,1680,0.284,0.052,0.012,7.556,,8.887,
1,521,1567,1683,0.279,0.052,0.016,7.46,,8.951,
2,223,1569,1801,0.264,0.052,0.019,4.472,,6.98,
1,522,1570,1686,0.283,0.051,0.012,7.607,,8.983,
1,523,1573,1689,0.28,0.052,0.016,7.619,,9.044,
1,524,1576,1692,0.283,0.051,0.015,7.516,,9.036,
2,224,1576,1808,0.264,0.052,0.019,4.583,,6.947,
3,104,1576,2040,0.244,0.056,0.019,2.588,,5.28,
5,24,1576,3432,0.236,0.056,0.032,0.703,8.227,2.44,
1,525,1579,1695,0.284,0.052,0.016,7.672,,9.079,
1,526,1582,1698,0.295,0.06,0.024,7.695,,9.096,
4,50,1582,2510,0.227,0.044,0.019,1.496,,3.556,
2,225,1583,1815,0.268,0.056,0.019,4.756,,7.164,
1,527,1585,1701,0.292,0.06,0.024,7.6,,9.115,
1,528,1588,1704,0.291,0.06,0.024,7.768,,9.087,
2,226,1590,1822,0.264,0.06,0.016,4.692,,7.759,
1,529,1591,1707,0.279,0.048,0.012,7.715,,9.163,
3,105,1591,2055,0.243,0.048,0.019,2.643,,4.692,
1,530,1594,1710,0.288,0.056,0.012,7.731,,9.204,
1,531,1597,1713,0.287,0.051,0.015,7.847,,9.211,
2,227,1597,1829,0.255,0.052,0.019,4.779,,7.152,
1,532,1600,1716,0.284,0.052,0.012,8.316,,9.267,
1,533,1603,1719,0.283,0.051,0.015,7.672,,9.336,
2,228,1604,1836,0.251,0.052,0.019,4.78,,7.492,
1,534,1606,1722,0.288,0.052,0.012,7.971,,9.316,
3,106,1606,2070,0.244,0.048,0.019,2.72,,4.831,
1,535,1609,1725,0.283,0.051,0.015,7.983,,9.355,
2,229,1611,1843,0.251,0.048,0.02,4.771,,7.251,
1,536,1612,1728,0.28,0.048,0.016,7.916,,9.416,
4,51,1613,2541,0.224,0.048,0.019,1.452,,3.735,
1,537,1615,1731,0.283,0.051,0.015,8.059,,10.083,
1,538,1618,1734,0.288,0.052,0.012,8.483,,10.147,
2,230,1618,1850,0.252,0.048,0.019,4.94,,7.456,
1,539,1621,1737,0.292,0.06,0.024,7.956,,11.096,
3,107,1621,2085,0.235,0.052,0.019,2.855,,5.184,
1,540,1624,1740,0.291,0.052,0.012,8.096,,10.051,
2,231,1625,1857,0.255,0.056,0.019,4.804,,8.315,
1,541,1627,1743,0.288,0.055,0.016,8.211,,11.152,
1,542,1630,1746,0.288,0.052,0.016,8.668,,11.228,
2,232,1632,1864,0.251,0.052,0.019,5.031,,7.559,
1,543,1633,1749,0.283,0.051,0.011,8.031,,10.291,
1,544,1636,1752,0.292,0.056,0.012,8.276,,10.4,
3,108,1636,2100,0.24,0.051,0.019,2.872,,5.107,
1,545,1639,1755,0.287,0.051,0.015,8.704,,10.435,
2,233,1639,1871,0.255,0.055,0.024,4.956,,7.811,
5,25,1639,3495,0.231,0.052,0.028,0.844,8.9,2.619,
1,546,1642,1758,0.288,0.052,0.012,8.179,,11.519,
4,52,1644,2572,0.227,0.048,0.019,1.523,,3.7,
1,547,1645,1761,0.3,0.064,0.028,8.263,,10.607,
2,234,1646,1878,0.268,0.067,0.035,4.947,,7.835,
1,548,1648,1764,0.295,0.063,0.027,8.384,,10.607,
1,549,1651,1767,0.283,0.052,0.016,8.792,,10.644,
3,109,1651,2115,0.24,0.052,0.019,2.815,,5.119,
6,12,1652,5364,0.248,0.068,0.048,0.404,6.927,2.016,
2,235,1653,1885,0.259,0.059,0.024,5.084,,8.475,
1,550,1654,1770,0.287,0.052,0.012,8.351,,10.567,
1,551,1657,1773,0.288,0.051,0.015,8.388,,,
1,552,1660,1776,0.288,0.052,0.016,8.511,,,
2,236,1660,1892,0.264,0.06,0.019,5.083,,7.784,
1,553,1663,1779,0.292,0.048,0.012,8.888,,,
1,554,1666,1782,0.299,0.06,0.024,8.556,,,
3,110,1666,2130,0.235,0.052,0.019,2.923,,5.284,
2,237,1667,1899,0.264,0.056,0.019,5.239,,8.624,
1,555,1669,1785,0.288,0.051,0.015,8.46,,,
1,556,1672,1788,0.292,0.055,0.012,8.663,,,
2,238,1674,1906,0.264,0.056,0.02,5.124,,7.679,
1,557,1675,1791,0.295,0.052,0.016,8.695,,,
4,53,1675,2603,0.228,0.044,0.019,1.648,,4.119,
1,558,1678,1794,0.288,0.056,0.016,9.14,,,
1,559,1681,1797,0.291,0.051,0.015,8.74,,,
2,239,1681,1913,0.255,0.052,0.019,5.324,,8.811,
3,111,1681,2145,0.251,0.055,0.027,3.112,,5.532,
1,560,1684,1800,0.304,0.068,0.024,8.748,,,
1,561,1687,1803,0.287,0.051,0.015,9.192,,,
2,240,1688,1920,0.255,0.052,0.019,5.231,,7.824,
1,562,1690,1806,0.288,0.056,0.016,8.811,,,
1,563,1693,1809,0.292,0.055,0.016,8.839,,,
2,241,1695,1927,0.255,0.048,0.019,5.387,,8.192,
1,564,1696,1812,0.288,0.052,0.016,8.796,,,
3,112,1696,2160,0.244,0.048,0.019,3.019,,5.44,
1,565,1699,1815,0.296,0.06,0.024,8.907,,,
1,566,1702,1818,0.291,0.052,0.016,8.98,,,
2,242,1702,1934,0.259,0.055,0.019,5.284,,9.72,
5,26,1702,3558,0.24,0.056,0.032,0.92,9.452,2.884,
1,567,1705,1821,0.291,0.055,0.012,8.896,,,
4,54,1706,2634,0.228,0.052,0.028,1.692,,4.072,
1,568,1708,1824,0.296,0.056,0.012,9.035,,,
2,243,1709,1941,0.268,0.063,0.032,5.423,,8.427,
1,569,1711,1827,0.291,0.055,0.016,9.056,,,
3,113,1711,2175,0.251,0.059,0.024,3.063,,5.563,
1,570,1714,1830,0.3,0.06,0.019,9.519,,,
2,244,1716,1948,0.259,0.06,0.019,5.552,,9.175,
1,571,1717,1833,0.291,0.051,0.015,9.015,,,
1,572,1720,1836,0.288,0.055,0.016,9.192,,,
1,573,1723,1839,0.292,0.055,0.016,9.676,,,
2,245,1723,1955,0.264,0.06,0.02,5.423,,8.46,
1,574,1726,1842,0.291,0.051,0.015,8.991,,,
3,114,1726,2190,0.248,0.052,0.019,3.168,,5.74,
1,575,1729,1845,0.292,0.06,0.012,9.243,,,
2,246,1730,1962,0.26,0.056,0.02,5.648,,8.588,
1,576,1732,1848,0.295,0.052,0.016,9.304,,,
1,577,1735,1851,0.291,0.052,0.016,9.771,,,
2,247,1737,1969,0.264,0.055,0.019,5.556,,9.351,
4,55,1737,2665,0.228,0.044,0.024,1.779,,4.375,
1,578,1738,1854,0.292,0.052,0.016,9.159,,,
1,579,1741,1857,0.299,0.06,0.024,9.392,,,
3,115,1741,2205,0.24,0.052,0.019,3.295,,5.9,
1,580,1744,1860,0.3,0.051,0.015,9.755,,,
2,248,1744,1976,0.259,0.055,0.019,5.755,,8.056,
1,581,1747,1863,0.291,0.055,0.015,9.375,,,
1,582,1750,1866,0.3,0.052,0.016,9.292,,,
2,249,1751,1983,0.255,0.051,0.019,5.632,,8.235,
1,583,1753,1869,0.3,0.055,0.016,9.523,,,
1,584,1756,1872,0.3,0.056,0.016,9.543,,,
3,116,1756,2220,0.24,0.052,0.024,3.155,,5.695,
2,250,1758,1990,0.272,0.067,0.032,6.251,,8.347,
1,585,1759,1875,0.307,0.055,0.016,10.,,,
1,586,1762,1878,0.307,0.068,0.032,9.463,,,
1,587,1765,1881,0.296,0.056,0.016,9.635,,,
2,251,1765,1997,0.268,0.06,0.019,5.648,,8.432,
5,27,1765,3621,0.243,0.064,0.039,0.996,10.039,3.072,
1,588,1768,1884,0.295,0.056,0.016,9.672,,,
4,56,1768,2696,0.228,0.048,0.019,1.94,,4.304,
1,589,1771,1887,0.307,0.056,0.016,10.155,,,
3,117,1771,2235,0.251,0.052,0.019,3.324,,5.931,
2,252,1772,2004,0.264,0.06,0.02,5.94,,8.5,
1,590,1774,1890,0.327,0.079,0.043,9.584,,,
1,591,1777,1893,0.3,0.06,0.016,9.784,,,
2,253,1779,2011,0.263,0.051,0.019,5.78,,8.455,
6,13,1779,5491,0.248,0.068,0.048,0.467,7.9,2.423,
1,592,1780,1896,0.303,0.055,0.016,10.235,,,
1,593,1783,1899,0.303,0.06,0.024,9.74,,,
1,594,1786,1902,0.312,0.06,0.016,9.711,,,
2,254,1786,2018,0.259,0.059,0.02,6.039,,8.576,
3,118,1786,2250,0.255,0.055,0.027,3.487,,6.807,
7,6,1786,9210,0.288,0.1,0.08,0.271,6.068,2.044,
1,595,1789,1905,0.295,0.055,0.016,9.935,,,
1,596,1792,1908,0.295,0.052,0.016,9.951,,,
2,255,1793,2025,0.259,0.055,0.024,5.891,,8.648,
1,597,1795,1911,0.295,0.055,0.016,10.488,,,
1,598,1798,1914,0.3,0.055,0.016,9.816,,,
4,57,1799,2727,0.223,0.048,0.023,1.896,,5.244,
2,256,1800,2032,0.272,0.063,0.032,6.092,,8.711,
1,599,1801,1917,0.295,0.052,0.016,10.04,,,
3,119,1801,2265,0.252,0.052,0.024,3.452,,6.,
1,600,1804,1920,0.296,0.056,0.016,10.099,,,
1,601,1807,1923,0.295,0.055,0.016,,,,
2,257,1807,2039,0.268,0.064,0.024,6.032,,8.764,
1,602,1810,1926,0.304,0.052,0.016,,,,
1,603,1813,1929,0.295,0.052,0.016,,,,
2,258,1814,2046,0.264,0.06,0.024,6.215,,8.811,
1,604,1816,1932,0.295,0.056,0.016,,,,
3,120,1816,2280,0.247,0.048,0.02,3.419,,6.243,
1,605,1819,1935,0.3,0.052,0.016,,,,
2,259,1821,2053,0.267,0.055,0.024,6.072,,8.908,
1,606,1822,1938,0.295,0.051,0.015,,,,
1,607,1825,1941,0.295,0.055,0.016,,,,
1,608,1828,1944,0.303,0.052,0.016,,,,
2,260,1828,2060,0.264,0.055,0.019,6.307,,8.947,
5,28,1828,3684,0.236,0.052,0.032,1.043,10.759,3.187,
4,58,1830,2758,0.231,0.051,0.019,1.887,,4.711,
1,609,1831,1947,0.304,0.056,0.016,,,,
3,121,1831,2295,0.244,0.052,0.019,3.652,,7.047,
1,610,1834,1950,0.3,0.052,0.016,,,,
2,261,1835,2067,0.264,0.059,0.019,6.199,,9.036,
1,611,1837,1953,0.307,0.064,0.019,,,,
1,612,1840,1956,0.303,0.055,0.016,,,,
2,262,1842,2074,0.264,0.059,0.019,6.344,,9.132,
1,613,1843,1959,0.295,0.055,0.016,,,,
1,614,1846,1962,0.303,0.064,0.016,,,,
3,122,1846,2310,0.255,0.067,0.035,3.588,,6.336,
1,615,1849,1965,0.303,0.055,0.015,,,,
2,263,1849,2081,0.268,0.056,0.019,6.347,,9.159,
1,616,1852,1968,0.3,0.052,0.016,,,,
1,617,1855,1971,0.303,0.06,0.019,,,,
2,264,1856,2088,0.264,0.06,0.019,6.512,,9.211,
1,618,1858,1974,0.307,0.055,0.019,,,,
1,619,1861,1977,0.312,0.067,0.028,,,,
3,123,1861,2325,0.252,0.052,0.024,3.668,,6.496,
4,59,1861,2789,0.236,0.051,0.028,2.039,,4.751,
2,265,1863,2095,0.259,0.056,0.019,6.447,,9.248,
1,620,1864,1980,0.299,0.059,0.015,,,,
1,621,1867,1983,0.3,0.055,0.015,,,,
1,622,1870,1986,0.3,0.06,0.016,,,,
2,266,1870,2102,0.267,0.063,0.028,6.588,,9.38,
1,623,1873,1989,0.308,0.06,0.02,,,,
1,624,1876,1992,0.319,0.067,0.028,,,,
3,124,1876,2340,0.244,0.052,0.024,3.819,,7.415,
2,267,1877,2109,0.272,0.064,0.024,6.603,,9.379,
1,625,1879,1995,0.299,0.055,0.015,,,,
1,626,1882,1998,0.312,0.067,0.027,,,,
2,268,1884,2116,0.267,0.055,0.019,6.615,,9.44,
1,627,1885,2001,0.3,0.06,0.016,,,,
1,628,1888,2004,0.3,0.055,0.015,,,,
1,629,1891,2007,0.307,0.064,0.019,,,,
2,269,1891,2123,0.268,0.056,0.024,6.792,,9.516,
3,125,1891,2355,0.235,0.051,0.024,3.807,,7.023,
5,29,1891,3747,0.24,0.056,0.032,1.523,11.724,3.923,
4,60,1892,2820,0.236,0.048,0.02,2.088,,5.211,
1,630,1894,2010,0.303,0.06,0.019,,,,
1,631,1897,2013,0.32,0.068,0.032,,,,
2,270,1898,2130,0.259,0.052,0.019,6.675,,10.291,
1,632,1900,2016,0.303,0.06,0.016,,,,
1,633,1903,2019,0.311,0.067,0.031,,,,
2,271,1905,2137,0.268,0.06,0.032,6.864,,,
1,634,1906,2022,0.3,0.055,0.016,,,,
3,126,1906,2370,0.24,0.052,0.024,3.82,,7.283,
6,14,1906,5618,0.255,0.071,0.047,0.532,8.8,2.764,
1,635,1909,2025,0.299,0.055,0.015,,,,
1,636,1912,2028,0.308,0.064,0.02,,,,
2,272,1912,2144,0.267,0.059,0.024,6.748,,,
1,637,1915,2031,0.307,0.056,0.02,,,,
1,638,1918,2034,0.303,0.055,0.016,,,,
2,273,1919,2151,0.272,0.056,0.024,6.951,,,
1,639,1921,2037,0.303,0.052,0.016,,,,
3,127,1921,2385,0.248,0.06,0.032,4.012,,8.068,
4,61,1923,2851,0.236,0.052,0.024,2.275,,5.3,
1,640,1924,2040,0.307,0.06,0.015,,,,
2,274,1926,2158,0.264,0.052,0.019,6.9,,,
1,641,1927,2043,0.312,0.051,0.015,,,,
1,642,1930,2046,0.3,0.056,0.016,,,,
1,643,1933,2049,0.3,0.055,0.015,,,,
2,275,1933,2165,0.275,0.067,0.031,6.932,,,
1,644,1936,2052,0.312,0.064,0.016,,,,
3,128,1936,2400,0.243,0.051,0.02,4.008,,7.492,
1,645,1939,2055,0.307,0.056,0.02,,,,
2,276,1940,2172,0.268,0.06,0.024,7.115,,,
1,646,1942,2058,0.307,0.055,0.016,,,,
1,647,1945,2061,0.304,0.06,0.019,,,,
2,277,1947,2179,0.271,0.055,0.024,6.967,,,
1,648,1948,2064,0.312,0.064,0.016,,,,
1,649,1951,2067,0.308,0.06,0.016,,,,
3,129,1951,2415,0.244,0.052,0.024,3.995,,7.711,
1,650,1954,2070,0.307,0.056,0.02,,,,
2,278,1954,2186,0.268,0.055,0.019,7.228,,,
4,62,1954,2882,0.24,0.056,0.036,2.295,,5.267,
5,30,1954,3810,0.24,0.055,0.031,1.276,11.983,3.588,
1,651,1957,2073,0.303,0.06,0.019,,,,
1,652,1960,2076,0.312,0.064,0.019,,,,
2,279,1961,2193,0.268,0.06,0.019,7.159,,,
1,653,1963,2079,0.303,0.051,0.015,,,,
1,654,1966,2082,0.304,0.06,0.02,,,,
3,130,1966,2430,0.244,0.052,0.024,4.248,,8.596,
2,280,1968,2200,0.268,0.06,0.019,7.2,,,
1,655,1969,2085,0.304,0.06,0.016,,,,
1,656,1972,2088,0.311,0.063,0.016,,,,
1,657,1975,2091,0.312,0.056,0.016,,,,
2,281,1975,2207,0.267,0.055,0.019,7.38,,,
1,658,1978,2094,0.304,0.056,0.016,,,,
1,659,1981,2097,0.316,0.072,0.032,,,,
3,131,1981,2445,0.244,0.056,0.024,4.092,,7.824,
2,282,1982,2214,0.272,0.063,0.032,6.4,,,
1,660,1984,2100,0.312,0.064,0.02,,,,
4,63,1985,2913,0.228,0.048,0.024,2.316,,5.528,
1,661,1987,2103,0.319,0.067,0.028,,,,
2,283,1989,2221,0.271,0.059,0.024,6.431,,,
1,662,1990,2106,0.303,0.06,0.019,,,,
1,663,1993,2109,0.307,0.06,0.019,,,,
1,664,1996,2112,0.307,0.055,0.015,,,,
2,284,1996,2228,0.276,0.06,0.024,6.516,,,
3,132,1996,2460,0.252,0.063,0.035,4.231,,8.039,
1,665,1999,2115,0.312,0.06,0.015,,,,
1,666,2002,2118,0.315,0.056,0.016,,,,
2,285,2003,2235,0.271,0.059,0.024,6.384,,,
1,667,2005,2121,0.307,0.059,0.019,,,,
1,668,2008,2124,0.319,0.072,0.031,,,,
2,286,2010,2242,0.272,0.059,0.024,6.608,,,
1,669,2011,2127,0.312,0.064,0.019,,,,
3,133,2011,2475,0.247,0.052,0.024,4.452,,9.339,
1,670,2014,2130,0.312,0.06,0.019,,,,
4,64,2016,2944,0.231,0.051,0.023,2.307,,5.835,
1,671,2017,2133,0.307,0.06,0.019,,,,
2,287,2017,2249,0.268,0.06,0.024,6.587,,,
5,31,2017,3873,0.235,0.055,0.031,1.367,,3.851,
1,672,2020,2136,0.312,0.064,0.016,,,,
1,673,2023,2139,0.32,0.064,0.024,,,,
2,288,2024,2256,0.268,0.059,0.024,6.572,,,
1,674,2026,2142,0.311,0.06,0.019,,,,
3,134,2026,2490,0.24,0.048,0.024,4.288,,8.284,
1,675,2029,2145,0.307,0.059,0.019,,,,
2,289,2031,2263,0.276,0.064,0.028,6.755,,,
1,676,2032,2148,0.307,0.06,0.019,,,,
6,15,2033,5745,0.26,0.072,0.052,0.612,9.759,4.215,
1,677,2035,2151,0.316,0.064,0.02,,,,
1,678,2038,2154,0.32,0.068,0.028,,,,
2,290,2038,2270,0.268,0.059,0.024,6.652,,,
1,679,2041,2157,0.315,0.06,0.019,,,,
3,135,2041,2505,0.24,0.055,0.024,4.556,,8.432,
7,7,2041,9465,0.296,0.112,0.088,0.344,7.687,2.451,
1,680,2044,2160,0.315,0.06,0.016,,,,
2,291,2045,2277,0.268,0.056,0.024,6.8,,,
8,3,2045,16893,0.355,0.164,0.14,0.179,5.636,2.42,37.995
1,681,2047,2163,0.308,0.056,0.02,,,,
4,65,2047,2975,0.244,0.056,0.031,2.488,,5.812,
9,1,2047,31743,0.495,0.284,0.26,0.072,3.751,2.628,14.5
1,682,2050,2166,0.312,0.064,0.019,,,,
2,292,2052,2284,0.279,0.072,0.036,6.887,,,
1,683,2053,2169,0.319,0.068,0.028,,,,
1,684,2056,2172,0.315,0.06,0.019,,,,
3,136,2056,2520,0.244,0.056,0.024,4.515,,9.247,
1,685,2059,2175,0.312,0.06,0.02,,,,
2,293,2059,2291,0.271,0.059,0.024,6.8,,,
1,686,2062,2178,0.319,0.071,0.031,,,,
1,687,2065,2181,0.312,0.064,0.019,,,,
2,294,2066,2298,0.272,0.06,0.024,6.971,,,
1,688,2068,2184,0.319,0.064,0.015,,,,
1,689,2071,2187,0.324,0.076,0.031,,,,
3,137,2071,2535,0.255,0.063,0.035,4.576,,8.504,
2,295,2073,2305,0.283,0.067,0.036,7.62,,,
1,690,2074,2190,0.315,0.063,0.019,,,,
1,691,2077,2193,0.312,0.06,0.016,,,,
4,66,2078,3006,0.231,0.048,0.023,2.707,,5.751,
1,692,2080,2196,0.307,0.06,0.019,,,,
2,296,2080,2312,0.275,0.059,0.019,7.915,,,
5,32,2080,3936,0.235,0.059,0.031,1.387,,3.992,
1,693,2083,2199,0.311,0.063,0.016,,,,
1,694,2086,2202,0.319,0.063,0.019,,,,
3,138,2086,2550,0.251,0.059,0.031,4.763,,8.748,
2,297,2087,2319,0.276,0.06,0.024,8.296,,,
1,695,2089,2205,0.324,0.067,0.028,,,,
1,696,2092,2208,0.319,0.06,0.019,,,,
2,298,2094,2326,0.283,0.067,0.032,8.275,,,
1,697,2095,2211,0.311,0.059,0.019,,,,
1,698,2098,2214,0.324,0.072,0.031,,,,
1,699,2101,2217,0.315,0.063,0.019,,,,
2,299,2101,2333,0.271,0.063,0.024,8.211,,,
3,139,2101,2565,0.252,0.056,0.024,4.648,,8.96,
1,700,2104,2220,0.316,0.06,0.019,,,,
1,701,2107,2223,0.327,0.075,0.031,,,,
2,300,2108,2340,0.276,0.056,0.024,8.463,,,
4,67,2109,3037,0.231,0.052,0.023,2.552,,6.415,
1,702,2110,2226,0.316,0.06,0.016,,,,
1,703,2113,2229,0.315,0.063,0.019,,,,
2,301,2115,2347,0.279,0.072,0.036,8.427,,,
1,704,2116,2232,0.319,0.063,0.019,,,,
3,140,2116,2580,0.251,0.051,0.024,4.911,,9.163,
1,705,2119,2235,0.312,0.06,0.019,,,,
1,706,2122,2238,0.312,0.064,0.02,,,,
2,302,2122,2354,0.272,0.06,0.024,8.467,,,
1,707,2125,2241,0.316,0.064,0.02,,,,
1,708,2128,2244,0.324,0.063,0.024,,,,
2,303,2129,2361,0.275,0.063,0.024,8.544,,,
1,709,2131,2247,0.316,0.06,0.02,,,,
3,141,2131,2595,0.244,0.056,0.028,4.832,,9.092,
1,710,2134,2250,0.316,0.064,0.016,,,,
2,304,2136,2368,0.272,0.064,0.024,9.119,,,
1,711,2137,2253,0.319,0.06,0.019,,,,
1,712,2140,2256,0.327,0.075,0.031,,,,
4,68,2140,3068,0.248,0.059,0.036,2.724,,5.748,
1,713,2143,2259,0.319,0.06,0.016,,,,
2,305,2143,2375,0.271,0.055,0.024,8.536,,,
5,33,2143,3999,0.243,0.059,0.036,1.44,,4.907,
1,714,2146,2262,0.316,0.06,0.019,,,,
3,142,2146,2610,0.251,0.056,0.024,4.976,,9.44,
1,715,2149,2265,0.315,0.06,0.019,,,,
2,306,2150,2382,0.279,0.067,0.027,8.867,,,
1,716,2152,2268,0.324,0.072,0.028,,,,
1,717,2155,2271,0.316,0.064,0.019,,,,
2,307,2157,2389,0.272,0.06,0.024,8.912,,,
1,718,2158,2274,0.315,0.06,0.015,,,,
6,16,2160,5872,0.259,0.072,0.048,0.695,,3.427,
1,719,2161,2277,0.312,0.06,0.02,,,,
3,143,2161,2625,0.244,0.055,0.024,4.991,,9.407,
1,720,2164,2280,0.328,0.076,0.031,,,,
2,308,2164,2396,0.275,0.059,0.024,9.207,,,
1,721,2167,2283,0.319,0.064,0.015,,,,
1,722,2170,2286,0.324,0.067,0.02,,,,
2,309,2171,2403,0.276,0.064,0.024,8.776,,,
4,69,2171,3099,0.227,0.048,0.024,2.804,,6.22,
1,723,2173,2289,0.324,0.064,0.019,,,,
1,724,2176,2292,0.331,0.076,0.032,,,,
3,144,2176,2640,0.255,0.063,0.035,5.068,,9.644,
2,310,2178,2410,0.271,0.059,0.024,8.963,,,
1,725,2179,2295,0.316,0.064,0.019,,,,
1,726,2182,2298,0.319,0.064,0.019,,,,
1,727,2185,2301,0.327,0.067,0.019,,,,
2,311,2185,2417,0.276,0.068,0.032,9.5,,,
1,728,2188,2304,0.336,0.067,0.019,,,,
1,729,2191,2307,0.34,0.068,0.028,,,,
3,145,2191,2655,0.251,0.056,0.028,5.288,,9.659,
2,312,2192,2424,0.276,0.064,0.024,8.844,,,
1,730,2194,2310,0.328,0.064,0.02,,,,
1,731,2197,2313,0.324,0.067,0.016,,,,
2,313,2199,2431,0.271,0.059,0.024,9.135,,,
1,732,2200,2316,0.324,0.064,0.019,,,,
4,70,2202,3130,0.231,0.051,0.028,3.027,,6.556,
1,733,2203,2319,0.327,0.067,0.015,,,,
1,734,2206,2322,0.328,0.064,0.016,,,,
2,314,2206,2438,0.272,0.064,0.024,9.235,,,
3,146,2206,2670,0.252,0.056,0.024,5.179,,9.856,
5,34,2206,4062,0.244,0.056,0.031,1.488,,4.523,
1,735,2209,2325,0.347,0.087,0.048,,,,
1,736,2212,2328,0.328,0.06,0.02,,,,
2,315,2213,2445,0.275,0.063,0.024,9.731,,,
1,737,2215,2331,0.34,0.072,0.019,,,,
1,738,2218,2334,0.331,0.067,0.019,,,,
2,316,2220,2452,0.279,0.064,0.032,9.172,,,
