tree depth,extra +0s per node,term size,term size+29,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite!,cbv;setoid_rewrite,cbv;rewrite_strat(topdown),cbv;rewrite_strat(bottomup)
1,52,160,276,0.199,0.024,0.003,0.076,0.416,0.111,0.739
2,22,162,394,0.196,0.028,0.004,0.048,0.408,0.096,0.776
1,53,163,279,0.204,0.024,0.003,0.08,0.439,0.116,0.76
1,54,166,282,0.199,0.024,0.003,0.08,0.44,0.123,0.791
3,10,166,630,0.199,0.028,0.004,0.027,0.392,0.083,0.72
1,55,169,285,0.199,0.027,0.003,0.083,0.451,0.12,0.839
2,23,169,401,0.199,0.028,0.007,0.051,0.432,0.104,0.796
1,56,172,288,0.2,0.024,0.004,0.087,0.468,0.136,0.847
1,57,175,291,0.203,0.027,0.,0.092,0.475,0.139,0.879
2,24,176,408,0.196,0.024,0.004,0.056,0.471,0.107,0.884
1,58,178,294,0.204,0.027,0.,0.092,0.5,0.14,0.888
1,59,181,297,0.199,0.024,0.003,0.096,0.508,0.228,0.948
3,11,181,645,0.204,0.028,0.008,0.036,0.447,0.092,0.864
2,25,183,415,0.196,0.024,0.004,0.059,0.496,0.112,0.919
1,60,184,300,0.2,0.024,0.004,0.096,0.519,0.16,0.943
1,61,187,303,0.199,0.028,0.,0.103,0.524,0.147,1.004
4,5,187,1115,0.215,0.032,0.008,0.023,0.407,0.084,0.771
1,62,190,306,0.195,0.027,0.003,0.108,0.536,0.176,1.
2,26,190,422,0.203,0.032,0.004,0.064,0.511,0.124,1.
5,2,190,2046,0.207,0.035,0.016,0.008,0.311,0.108,0.588
1,63,193,309,0.28,0.031,0.004,0.108,0.544,0.171,1.087
1,64,196,312,0.211,0.028,0.004,0.112,0.547,0.172,1.024
3,12,196,660,0.203,0.028,0.,0.039,0.496,0.096,0.947
2,27,197,429,0.2,0.024,0.004,0.076,0.551,0.127,1.06
1,65,199,315,0.204,0.024,0.004,0.115,0.564,0.176,1.076
1,66,202,318,0.208,0.028,0.004,0.119,0.568,0.172,1.079
2,28,204,436,0.195,0.024,0.004,0.079,0.568,0.14,1.048
1,67,205,321,0.208,0.028,0.,0.124,0.591,0.176,1.091
1,68,208,324,0.204,0.028,0.004,0.124,0.596,0.179,1.14
1,69,211,327,0.204,0.028,0.,0.128,0.615,0.172,1.207
2,29,211,443,0.196,0.028,0.004,0.084,0.599,0.147,1.152
3,13,211,675,0.203,0.031,0.007,0.044,0.539,0.103,1.067
1,70,214,330,0.204,0.028,0.004,0.131,0.624,0.176,1.219
1,71,217,333,0.211,0.032,0.004,0.14,0.64,0.183,1.235
2,30,218,450,0.2,0.028,0.008,0.092,0.632,0.155,1.248
4,6,218,1146,0.208,0.031,0.008,0.028,0.492,0.107,1.004
