list length,iteration count,term size,Rewrite_for,rewriting,rewriting (vm only),"rewrite_strat(topdown,bottomup)","rewrite_strat(bottomup,bottomup)",cps+vm_compute,setoid_rewrite
1,1,1,0.223,0.012,0.,0.,0.,0.,0.052
1,2,2,0.107,0.011,0.,0.04,0.04,0.,0.028
2,1,2,0.104,0.012,0.,0.008,0.004,0.,0.024
1,3,3,0.104,0.012,0.003,0.016,0.015,0.,0.147
3,1,3,0.103,0.011,0.,0.019,0.016,0.,0.048
1,4,4,0.111,0.012,0.004,0.116,0.116,0.,0.151
2,2,4,0.1,0.011,0.003,0.024,0.024,0.,0.072
4,1,4,0.104,0.012,0.,0.036,0.039,0.,0.096
1,5,5,0.108,0.012,0.,0.199,0.199,0.,0.387
5,1,5,0.107,0.011,0.,0.071,0.072,0.,0.171
1,6,6,0.108,0.012,0.,0.248,0.267,0.,0.552
2,3,6,0.108,0.011,0.,0.092,0.088,0.,0.196
3,2,6,0.104,0.016,0.004,0.084,0.08,0.,0.172
6,1,6,0.104,0.008,0.,0.123,0.115,0.,0.288
1,7,7,0.108,0.012,0.004,0.248,0.248,0.,0.728
7,1,7,0.111,0.011,0.003,,,0.,0.451
1,8,8,0.104,0.011,0.003,,,0.,1.08
2,4,8,0.104,0.016,0.003,0.203,0.203,0.,0.415
4,2,8,0.112,0.012,0.,0.175,0.171,0.,0.351
8,1,8,0.107,0.016,0.004,,,0.004,
1,9,9,0.108,0.011,0.003,,,0.,
3,3,9,0.104,0.011,0.,0.248,0.244,0.,0.455
9,1,9,0.108,0.016,0.003,,,0.,
1,10,10,0.108,0.008,0.,,,0.,
2,5,10,0.107,0.016,0.003,0.42,0.42,0.,0.784
5,2,10,0.108,0.011,0.003,0.319,0.319,0.,0.66
10,1,10,0.111,0.011,0.003,,,0.003,
1,11,11,0.159,0.015,0.,,,0.,
11,1,11,0.144,0.012,0.003,,,0.,
1,12,12,0.107,0.012,0.004,,,0.,
2,6,12,0.112,0.012,0.004,0.763,0.775,0.,1.344
3,4,12,0.108,0.016,0.003,0.58,0.572,0.,0.976
4,3,12,0.112,0.012,0.004,0.524,0.524,0.,0.903
6,2,12,0.111,0.011,0.003,0.543,0.531,0.004,1.1
12,1,12,0.103,0.015,0.003,,,0.,
1,13,13,0.103,0.011,0.003,,,0.,
13,1,13,0.116,0.015,0.007,,,0.,
1,14,14,0.111,0.015,0.003,,,0.,
2,7,14,0.112,0.016,0.003,1.36,1.372,0.,2.192
7,2,14,0.112,0.016,0.003,,,0.,1.739
14,1,14,0.108,0.016,0.004,,,0.,
1,15,15,0.112,0.012,0.003,,,0.,
3,5,15,0.107,0.016,0.003,1.196,1.204,0.,1.8
5,3,15,0.111,0.012,0.003,1.015,0.999,0.,1.676
15,1,15,0.111,0.012,0.003,,,0.,
1,16,16,0.112,0.012,0.003,,,0.,
2,8,16,0.107,0.016,0.008,,,0.004,3.316
4,4,16,0.107,0.012,0.004,1.324,1.32,0.,1.939
8,2,16,0.112,0.019,0.004,,,0.,
16,1,16,0.112,0.016,0.004,,,0.,
1,17,17,0.112,0.016,0.004,,,0.,
17,1,17,0.111,0.015,0.007,,,0.,
1,18,18,0.112,0.015,0.007,,,0.,
2,9,18,0.112,0.016,0.003,,,0.,
3,6,18,0.111,0.016,0.003,2.3,2.343,0.,3.087
6,3,18,0.112,0.016,0.003,1.719,1.715,0.,2.815
9,2,18,0.112,0.016,0.003,,,0.,
18,1,18,0.112,0.015,0.008,,,0.,
1,19,19,0.112,0.015,0.008,,,0.,
19,1,19,0.112,0.016,0.008,,,0.,
1,20,20,0.107,0.015,0.003,,,0.,
2,10,20,0.112,0.016,0.003,,,0.,
4,5,20,0.115,0.016,0.007,2.772,2.788,0.,3.616
5,4,20,0.112,0.016,0.007,2.591,2.587,0.,3.507
10,2,20,0.112,0.016,0.007,,,0.,
20,1,20,0.111,0.015,0.003,,,0.,
1,21,21,0.116,0.015,0.007,,,0.003,
3,7,21,0.112,0.016,0.003,4.343,4.44,0.,4.991
7,3,21,0.115,0.016,0.003,,,0.,4.412
21,1,21,0.111,0.019,0.007,,,0.,
1,22,22,0.112,0.012,0.004,,,0.,
2,11,22,0.131,0.036,0.012,,,0.,
11,2,22,0.167,0.015,0.003,,,0.,
22,1,22,0.124,0.016,0.008,,,0.,
1,23,23,0.115,0.019,0.004,,,0.,
23,1,23,0.115,0.019,0.007,,,0.,
1,24,24,0.116,0.02,0.003,,,0.,
2,12,24,0.115,0.015,0.003,,,0.,
3,8,24,0.112,0.016,0.004,,,0.,7.575
4,6,24,0.12,0.016,0.003,5.708,5.791,0.,6.008
6,4,24,0.112,0.02,0.008,4.596,4.603,0.,5.856
8,3,24,0.115,0.016,0.008,,,0.,
12,2,24,0.115,0.015,0.003,,,0.,
24,1,24,0.119,0.024,0.012,,,0.,
1,25,25,0.112,0.02,0.004,,,0.,
5,5,25,0.115,0.016,0.003,5.808,5.824,0.,6.552
25,1,25,0.115,0.024,0.012,,,0.,
1,26,26,0.112,0.015,0.007,,,0.,
2,13,26,0.112,0.015,0.003,,,0.,
13,2,26,0.103,0.016,0.008,,,0.003,
26,1,26,0.115,0.02,0.008,,,0.,
1,27,27,0.112,0.015,0.003,,,0.,
3,9,27,0.12,0.019,0.008,,,0.,
9,3,27,0.116,0.019,0.003,,,0.,
27,1,27,0.115,0.02,0.007,,,0.,
1,28,28,0.112,0.016,0.008,,,0.004,
2,14,28,0.111,0.015,0.007,,,0.,
4,7,28,0.12,0.016,0.008,11.379,11.68,0.,9.728
7,4,28,0.115,0.019,0.003,,,0.,8.971
14,2,28,0.107,0.015,0.008,,,0.,
28,1,28,0.115,0.015,0.008,,,0.,
1,29,29,0.115,0.015,0.008,,,0.,
29,1,29,0.115,0.019,0.012,,,0.,
1,30,30,0.112,0.015,0.007,,,0.,
2,15,30,0.111,0.015,0.003,,,0.,
3,10,30,0.12,0.011,0.003,,,0.,
5,6,30,0.115,0.02,0.008,12.268,12.559,0.,10.768
6,5,30,0.116,0.016,0.008,11.032,10.951,0.,10.684
10,3,30,0.115,0.019,0.007,,,0.,
15,2,30,0.115,0.015,0.008,,,0.,
30,1,30,0.12,0.024,0.012,,,0.,
1,31,31,0.111,0.015,0.008,,,0.,
31,1,31,0.12,0.023,0.012,,,0.,
1,32,32,0.115,0.015,0.007,,,0.003,
2,16,32,0.112,0.015,0.007,,,0.,
4,8,32,0.112,0.019,0.011,,,0.,15.052
8,4,32,0.116,0.016,0.008,,,0.,
16,2,32,0.111,0.015,0.008,,,0.,
32,1,32,0.115,0.015,0.003,,,0.,
1,33,33,0.115,0.019,0.007,,,0.004,
3,11,33,0.111,0.015,0.008,,,0.,
11,3,33,0.115,0.019,0.007,,,0.,
33,1,33,0.116,0.019,0.012,,,0.,
1,34,34,0.115,0.02,0.012,,,0.,
2,17,34,0.115,0.019,0.007,,,0.,
17,2,34,0.115,0.019,0.007,,,0.,
34,1,34,0.119,0.024,0.012,,,0.,
1,35,35,0.112,0.02,0.008,,,0.,
5,7,35,0.115,0.027,0.019,25.603,26.212,0.,17.447
7,5,35,0.119,0.019,0.012,,,0.,16.724
35,1,35,0.119,0.019,0.012,,,0.,
1,36,36,0.12,0.019,0.011,,,0.,
2,18,36,0.112,0.015,0.007,,,0.,
3,12,36,0.111,0.019,0.007,,,0.,
4,9,36,0.115,0.019,0.007,,,0.,
6,6,36,0.115,0.019,0.007,24.376,24.855,0.,18.555
9,4,36,0.112,0.015,0.007,,,0.,
12,3,36,0.111,0.02,0.008,,,0.,
18,2,36,0.115,0.02,0.012,,,0.,
36,1,36,0.12,0.027,0.012,,,0.,
1,37,37,0.115,0.02,0.008,,,0.,
37,1,37,0.115,0.02,0.012,,,0.,
1,38,38,0.112,0.019,0.012,,,0.,
2,19,38,0.112,0.02,0.008,,,0.,
19,2,38,0.115,0.02,0.008,,,0.,
38,1,38,0.12,0.019,0.012,,,0.,
1,39,39,0.115,0.02,0.007,,,0.,
3,13,39,0.115,0.019,0.012,,,0.,
13,3,39,0.111,0.015,0.007,,,0.,
39,1,39,0.124,0.024,0.015,,,0.,
1,40,40,0.115,0.02,0.012,,,0.,
2,20,40,0.115,0.015,0.008,,,0.,
4,10,40,0.12,0.02,0.012,,,0.004,
5,8,40,0.115,0.024,0.007,,,0.,27.195
8,5,40,0.119,0.019,0.012,,,0.,
10,4,40,0.12,0.019,0.008,,,0.,
20,2,40,0.112,0.02,0.012,,,0.,
40,1,40,0.119,0.024,0.012,,,0.,
1,41,41,0.115,0.019,0.008,,,0.,
41,1,41,0.124,0.027,0.016,,,0.,
1,42,42,0.119,0.02,0.012,,,0.,
2,21,42,0.115,0.019,0.007,,,0.,
3,14,42,0.112,0.019,0.012,,,0.,
6,7,42,0.119,0.024,0.012,51.187,52.515,0.,29.656
7,6,42,0.124,0.015,0.007,,,0.,28.979
14,3,42,0.112,0.015,0.008,,,0.,
21,2,42,0.12,0.019,0.012,,,0.,
42,1,42,0.123,0.027,0.02,,,0.,
1,43,43,0.115,0.019,0.012,,,0.,
43,1,43,0.123,0.024,0.012,,,0.,
1,44,44,0.115,0.02,0.012,,,0.,
2,22,44,0.115,0.019,0.008,,,0.,
4,11,44,0.115,0.019,0.008,,,0.,
11,4,44,0.12,0.019,0.007,,,0.,
22,2,44,0.119,0.024,0.012,,,0.,
44,1,44,0.12,0.024,0.012,,,0.,
1,45,45,0.115,0.02,0.012,,,0.,
3,15,45,0.115,0.02,0.008,,,0.,
5,9,45,0.119,0.019,0.007,,,0.,
9,5,45,0.124,0.019,0.012,,,0.,
15,3,45,0.112,0.015,0.003,,,0.,
45,1,45,0.128,0.027,0.019,,,0.,
1,46,46,0.119,0.02,0.012,,,0.,
2,23,46,0.115,0.02,0.012,,,0.004,
23,2,46,0.115,0.02,0.012,,,0.,
46,1,46,0.12,0.023,0.015,,,0.,
1,47,47,0.112,0.024,0.012,,,0.,
47,1,47,0.124,0.027,0.019,,,0.,
1,48,48,0.119,0.02,0.012,,,0.,
2,24,48,0.115,0.019,0.012,,,0.,
3,16,48,0.12,0.019,0.012,,,0.,
4,12,48,0.107,0.015,0.012,,,0.,
6,8,48,0.12,0.019,0.012,,,0.,46.096
8,6,48,0.123,0.019,0.012,,,0.,
12,4,48,0.115,0.02,0.012,,,0.,
16,3,48,0.115,0.023,0.012,,,0.,
24,2,48,0.12,0.019,0.011,,,0.,
48,1,48,0.128,0.024,0.015,,,0.003,
1,49,49,0.115,0.024,0.012,,,0.,
7,7,49,0.124,0.024,0.012,,,0.,46.959
49,1,49,0.124,0.027,0.019,,,0.,
1,50,50,0.119,0.02,0.012,,,0.,
2,25,50,0.116,0.024,0.012,,,0.,
5,10,50,0.128,0.024,0.012,,,0.,
10,5,50,0.124,0.024,0.012,,,0.,
25,2,50,0.12,0.024,0.015,,,0.,
50,1,50,0.128,0.027,0.016,,,0.003,
1,51,51,0.115,0.028,0.016,,,0.,
3,17,51,0.12,0.019,0.012,,,0.,
17,3,51,0.115,0.019,0.012,,,0.,
51,1,51,0.123,0.035,0.024,,,0.,
1,52,52,0.12,0.028,0.016,,,0.,
2,26,52,0.119,0.024,0.016,,,0.,
4,13,52,0.115,0.02,0.012,,,0.,
13,4,52,0.115,0.024,0.012,,,0.,
26,2,52,0.12,0.024,0.016,,,0.,
52,1,52,0.128,0.036,0.024,,,0.,
1,53,53,0.119,0.024,0.016,,,0.,
53,1,53,0.128,0.036,0.024,,,0.,
1,54,54,0.12,0.024,0.012,,,0.004,
2,27,54,0.115,0.019,0.012,,,0.,
3,18,54,0.115,0.024,0.012,,,0.,
6,9,54,0.128,0.024,0.012,,,0.,
9,6,54,0.128,0.024,0.012,,,0.,
18,3,54,0.119,0.024,0.016,,,0.,
27,2,54,0.124,0.023,0.015,,,0.,
54,1,54,0.128,0.036,0.024,,,0.,
1,55,55,0.12,0.028,0.02,,,0.,
5,11,55,0.111,0.016,0.012,,,0.,
11,5,55,0.115,0.019,0.012,,,0.,
55,1,55,0.132,0.04,0.028,,,0.,
1,56,56,0.12,0.024,0.015,,,0.,
2,28,56,0.119,0.027,0.015,,,0.,
4,14,56,0.115,0.024,0.012,,,0.,
7,8,56,0.128,0.024,0.015,,,0.,72.204
8,7,56,0.128,0.024,0.016,,,0.,
14,4,56,0.12,0.024,0.016,,,0.,
28,2,56,0.123,0.027,0.015,,,0.003,
56,1,56,0.131,0.04,0.024,,,0.,
1,57,57,0.124,0.028,0.019,,,0.,
3,19,57,0.12,0.019,0.012,,,0.,
19,3,57,0.127,0.028,0.015,,,0.,
57,1,57,0.136,0.035,0.024,,,0.,
1,58,58,0.123,0.024,0.015,,,0.,
2,29,58,0.123,0.024,0.016,,,0.,
29,2,58,0.124,0.027,0.015,,,0.,
58,1,58,0.135,0.039,0.028,,,0.,
1,59,59,0.123,0.032,0.019,,,0.004,
59,1,59,0.132,0.044,0.028,,,0.,
1,60,60,0.123,0.028,0.015,,,0.,
2,30,60,0.119,0.027,0.012,,,0.,
3,20,60,0.123,0.024,0.012,,,0.,
4,15,60,0.12,0.023,0.012,,,0.,
5,12,60,0.123,0.024,0.012,,,0.,
6,10,60,0.128,0.023,0.012,,,0.,
10,6,60,0.128,0.027,0.015,,,0.,
12,5,60,0.124,0.024,0.016,,,0.,
15,4,60,0.128,0.024,0.016,,,0.,
20,3,60,0.128,0.027,0.016,,,0.,
30,2,60,0.128,0.028,0.019,,,0.,
60,1,60,0.135,0.043,0.027,,,0.,
1,61,61,0.123,0.028,0.019,,,0.,
61,1,61,0.135,0.043,0.028,,,0.,
1,62,62,0.128,0.027,0.019,,,0.,
2,31,62,0.128,0.024,0.012,,,0.,
31,2,62,0.123,0.028,0.016,,,0.,
62,1,62,0.144,0.039,0.028,,,0.,
1,63,63,0.128,0.032,0.019,,,0.,
3,21,63,0.123,0.024,0.016,,,0.,
7,9,63,0.131,0.027,0.012,,,0.,
9,7,63,0.131,0.024,0.012,,,0.,
21,3,63,0.128,0.028,0.02,,,0.,
63,1,63,0.14,0.039,0.028,,,0.,
1,64,64,0.132,0.027,0.015,,,0.,
2,32,64,0.123,0.028,0.012,,,0.,
4,16,64,0.124,0.028,0.012,,,0.,
8,8,64,0.131,0.024,0.015,,,0.,
16,4,64,0.123,0.027,0.019,,,0.,
32,2,64,0.132,0.028,0.019,,,0.,
64,1,64,0.132,0.039,0.031,,,0.,
1,65,65,0.124,0.028,0.019,,,0.,
5,13,65,0.124,0.027,0.015,,,0.,
13,5,65,0.128,0.027,0.015,,,0.004,
65,1,65,0.136,0.043,0.032,,,0.004,
1,66,66,0.128,0.031,0.019,,,0.,
2,33,66,0.119,0.024,0.016,,,0.,
3,22,66,0.128,0.028,0.012,,,0.,
6,11,66,0.128,0.023,0.012,,,0.,
11,6,66,0.124,0.024,0.016,,,0.,
22,3,66,0.128,0.028,0.016,,,0.,
33,2,66,0.131,0.032,0.019,,,0.,
66,1,66,0.14,0.043,0.028,,,0.,
1,67,67,0.136,0.028,0.016,,,0.,
67,1,67,0.136,0.044,0.032,,,0.004,
1,68,68,0.135,0.032,0.019,,,0.,
2,34,68,0.123,0.024,0.016,,,0.,
4,17,68,0.128,0.028,0.012,,,0.,
17,4,68,0.128,0.032,0.016,,,0.,
34,2,68,0.128,0.028,0.02,,,0.,
68,1,68,0.144,0.043,0.036,,,0.,
1,69,69,0.127,0.028,0.019,,,0.,
3,23,69,0.128,0.028,0.016,,,0.,
23,3,69,0.128,0.027,0.019,,,0.,
69,1,69,0.148,0.043,0.032,,,0.004,
1,70,70,0.135,0.031,0.019,,,0.,
2,35,70,0.135,0.027,0.016,,,0.,
5,14,70,0.12,0.024,0.016,,,0.,
7,10,70,0.136,0.028,0.016,,,0.,
10,7,70,0.131,0.031,0.024,,,0.,
14,5,70,0.124,0.028,0.019,,,0.004,
35,2,70,0.132,0.032,0.02,,,0.,
70,1,70,0.144,0.043,0.031,,,0.,
1,71,71,0.131,0.032,0.02,,,0.,
71,1,71,0.144,0.048,0.035,,,0.004,
1,72,72,0.132,0.032,0.024,,,0.,
2,36,72,0.128,0.028,0.016,,,0.,
3,24,72,0.131,0.028,0.016,,,0.,
4,18,72,0.132,0.031,0.019,,,0.,
6,12,72,0.128,0.024,0.015,,,0.,
8,9,72,0.139,0.027,0.015,,,0.,
9,8,72,0.132,0.027,0.019,,,0.004,
12,6,72,0.128,0.027,0.015,,,0.,
18,4,72,0.128,0.027,0.015,,,0.,
24,3,72,0.128,0.027,0.019,,,0.003,
36,2,72,0.132,0.031,0.02,,,0.,
72,1,72,0.144,0.048,0.032,,,0.,
1,73,73,0.131,0.028,0.019,,,0.,
73,1,73,0.144,0.043,0.032,,,0.,
1,74,74,0.128,0.032,0.019,,,0.,
2,37,74,0.128,0.028,0.019,,,0.,
37,2,74,0.131,0.032,0.02,,,0.,
74,1,74,0.144,0.048,0.04,,,0.,
1,75,75,0.131,0.036,0.028,,,0.003,
3,25,75,0.128,0.031,0.019,,,0.,
5,15,75,0.128,0.027,0.015,,,0.,
15,5,75,0.128,0.023,0.015,,,0.,
25,3,75,0.128,0.031,0.019,,,0.,
75,1,75,0.147,0.04,0.028,,,0.,
1,76,76,0.135,0.032,0.019,,,0.,
2,38,76,0.128,0.027,0.024,,,0.,
4,19,76,0.132,0.024,0.016,,,0.,
19,4,76,0.131,0.028,0.016,,,0.,
38,2,76,0.136,0.031,0.019,,,0.,
76,1,76,0.143,0.048,0.036,,,0.,
1,77,77,0.132,0.032,0.019,,,0.,
7,11,77,0.128,0.028,0.016,,,0.,
11,7,77,0.128,0.031,0.016,,,0.,
77,1,77,0.147,0.048,0.036,,,0.,
1,78,78,0.132,0.032,0.019,,,0.,
2,39,78,0.128,0.027,0.016,,,0.,
3,26,78,0.128,0.024,0.016,,,0.,
6,13,78,0.128,0.027,0.016,,,0.,
13,6,78,0.128,0.031,0.02,,,0.,
26,3,78,0.144,0.039,0.024,,,0.,
39,2,78,0.14,0.031,0.019,,,0.,
78,1,78,0.147,0.051,0.036,,,0.004,
1,79,79,0.135,0.039,0.027,,,0.,
79,1,79,0.152,0.048,0.039,,,0.,
1,80,80,0.132,0.035,0.024,,,0.,
2,40,80,0.128,0.027,0.015,,,0.,
4,20,80,0.128,0.027,0.015,,,0.,
5,16,80,0.123,0.027,0.019,,,0.,
8,10,80,0.139,0.032,0.024,,,0.004,
10,8,80,0.136,0.027,0.02,,,0.,
16,5,80,0.128,0.027,0.019,,,0.,
20,4,80,0.123,0.028,0.016,,,0.,
40,2,80,0.132,0.031,0.024,,,0.003,
80,1,80,0.144,0.048,0.04,,,0.,
1,81,81,0.131,0.035,0.024,,,0.,
3,27,81,0.128,0.024,0.016,,,0.,
9,9,81,0.135,0.035,0.024,,,0.,
27,3,81,0.132,0.032,0.02,,,0.,
81,1,81,0.147,0.048,0.036,,,0.,
1,82,82,0.136,0.031,0.019,,,0.004,
2,41,82,0.131,0.036,0.019,,,0.004,
41,2,82,0.14,0.036,0.028,,,0.,
82,1,82,0.152,0.048,0.04,,,0.,
1,83,83,0.14,0.036,0.024,,,0.,
83,1,83,0.147,0.051,0.039,,,0.,
1,84,84,0.135,0.035,0.024,,,0.,
2,42,84,0.132,0.031,0.024,,,0.,
3,28,84,0.131,0.032,0.024,,,0.,
4,21,84,0.128,0.027,0.016,,,0.,
6,14,84,0.128,0.027,0.019,,,0.,
7,12,84,0.128,0.027,0.019,,,0.,
12,7,84,0.128,0.027,0.019,,,0.,
14,6,84,0.128,0.027,0.019,,,0.,
21,4,84,0.132,0.028,0.019,,,0.004,
28,3,84,0.132,0.027,0.019,,,0.,
42,2,84,0.135,0.035,0.02,,,0.,
84,1,84,0.143,0.052,0.043,,,0.,
1,85,85,0.136,0.04,0.032,,,0.,
5,17,85,0.128,0.027,0.015,,,0.,
17,5,85,0.131,0.031,0.019,,,0.003,
85,1,85,0.152,0.056,0.043,,,0.003,
1,86,86,0.14,0.04,0.028,,,0.,
2,43,86,0.131,0.036,0.024,,,0.,
43,2,86,0.136,0.031,0.023,,,0.,
86,1,86,0.155,0.052,0.039,,,0.,
1,87,87,0.14,0.036,0.028,,,0.,
3,29,87,0.132,0.036,0.024,,,0.,
29,3,87,0.135,0.036,0.027,,,0.,
87,1,87,0.152,0.056,0.043,,,0.,
1,88,88,0.139,0.039,0.024,,,0.,
2,44,88,0.136,0.036,0.024,,,0.,
4,22,88,0.136,0.028,0.019,,,0.,
8,11,88,0.128,0.027,0.019,,,0.,
11,8,88,0.128,0.032,0.016,,,0.,
22,4,88,0.132,0.028,0.02,,,0.,
44,2,88,0.14,0.036,0.024,,,0.,
88,1,88,0.152,0.052,0.04,,,0.,
1,89,89,0.132,0.04,0.024,,,0.,
89,1,89,0.152,0.06,0.048,,,0.,
1,90,90,0.135,0.039,0.028,,,0.,
2,45,90,0.132,0.031,0.019,,,0.,
3,30,90,0.128,0.031,0.015,,,0.,
5,18,90,0.131,0.031,0.019,,,0.004,
6,15,90,0.132,0.031,0.024,,,0.,
9,10,90,0.136,0.036,0.024,,,0.,
10,9,90,0.139,0.036,0.027,,,0.,
15,6,90,0.128,0.028,0.02,,,0.003,
18,5,90,0.132,0.027,0.019,,,0.,
30,3,90,0.131,0.032,0.024,,,0.,
45,2,90,0.14,0.036,0.024,,,0.,
90,1,90,0.156,0.055,0.039,,,0.004,
1,91,91,0.208,0.063,0.027,,,0.,
7,13,91,0.128,0.028,0.019,,,0.004,
13,7,91,0.128,0.032,0.02,,,0.,
91,1,91,0.187,0.06,0.048,,,0.,
1,92,92,0.151,0.039,0.024,,,0.,
2,46,92,0.131,0.031,0.019,,,0.,
4,23,92,0.132,0.031,0.019,,,0.,
23,4,92,0.135,0.031,0.024,,,0.003,
46,2,92,0.144,0.04,0.028,,,0.,
92,1,92,0.168,0.056,0.043,,,0.,
1,93,93,0.139,0.036,0.027,,,0.,
3,31,93,0.135,0.036,0.019,,,0.,
31,3,93,0.14,0.036,0.028,,,0.,
93,1,93,0.167,0.051,0.043,,,0.,
1,94,94,0.144,0.04,0.028,,,0.,
2,47,94,0.136,0.031,0.024,,,0.004,
47,2,94,0.152,0.036,0.028,,,0.,
94,1,94,0.163,0.055,0.043,,,0.,
1,95,95,0.144,0.039,0.031,,,0.,
5,19,95,0.131,0.032,0.02,,,0.,
19,5,95,0.136,0.031,0.019,,,0.,
95,1,95,0.168,0.063,0.048,,,0.004,
1,96,96,0.144,0.04,0.024,,,0.,
2,48,96,0.135,0.032,0.02,,,0.003,
3,32,96,0.131,0.031,0.019,,,0.,
4,24,96,0.132,0.031,0.019,,,0.,
6,16,96,0.135,0.036,0.024,,,0.,
8,12,96,0.132,0.031,0.019,,,0.004,
12,8,96,0.132,0.031,0.019,,,0.,
16,6,96,0.135,0.032,0.024,,,0.,
24,4,96,0.132,0.036,0.019,,,0.,
32,3,96,0.136,0.036,0.024,,,0.,
48,2,96,0.14,0.039,0.027,,,0.,
96,1,96,0.172,0.056,0.04,,,0.,
1,97,97,0.147,0.04,0.028,,,0.,
97,1,97,0.176,0.06,0.043,,,0.,
1,98,98,0.147,0.04,0.032,,,0.,
2,49,98,0.135,0.036,0.02,,,0.,
7,14,98,0.132,0.027,0.019,,,0.,
14,7,98,0.135,0.032,0.024,,,0.,
49,2,98,0.14,0.039,0.027,,,0.,
98,1,98,0.172,0.056,0.048,,,0.,
1,99,99,0.147,0.04,0.028,,,0.,
3,33,99,0.132,0.035,0.019,,,0.,
9,11,99,0.132,0.031,0.024,,,0.,
11,9,99,0.132,0.032,0.024,,,0.,
33,3,99,0.135,0.027,0.024,,,0.,
99,1,99,0.168,0.055,0.048,,,0.,
1,100,100,0.148,0.043,0.027,,,0.,
2,50,100,0.136,0.036,0.024,,,0.,
4,25,100,0.131,0.031,0.024,,,0.004,
5,20,100,0.132,0.032,0.02,,,0.,
10,10,100,0.144,0.036,0.024,,,0.,
20,5,100,0.135,0.031,0.024,,,0.,
25,4,100,0.14,0.036,0.024,,,0.003,
50,2,100,0.147,0.043,0.031,,,0.,
100,1,100,0.175,0.06,0.048,,,0.,
1,101,101,0.151,0.04,0.028,,,0.,
101,1,101,0.168,0.048,0.04,,,0.,
1,102,102,0.156,0.043,0.024,,,0.,
2,51,102,0.136,0.04,0.028,,,0.,
3,34,102,0.135,0.035,0.023,,,0.,
6,17,102,0.131,0.036,0.024,,,0.,
17,6,102,0.135,0.036,0.024,,,0.,
34,3,102,0.14,0.036,0.028,,,0.,
51,2,102,0.147,0.043,0.032,,,0.,
102,1,102,0.175,0.06,0.043,,,0.004,
1,103,103,0.151,0.04,0.032,,,0.,
103,1,103,0.172,0.06,0.043,,,0.,
1,104,104,0.144,0.04,0.031,,,0.,
2,52,104,0.14,0.039,0.028,,,0.,
4,26,104,0.136,0.036,0.024,,,0.,
8,13,104,0.139,0.036,0.027,,,0.,
13,8,104,0.136,0.031,0.024,,,0.,
26,4,104,0.135,0.036,0.024,,,0.,
52,2,104,0.147,0.048,0.036,,,0.,
104,1,104,0.175,0.063,0.055,,,0.,
1,105,105,0.152,0.043,0.031,,,0.004,
3,35,105,0.14,0.031,0.024,,,0.,
5,21,105,0.132,0.031,0.024,,,0.,
7,15,105,0.135,0.032,0.024,,,0.,
15,7,105,0.135,0.031,0.024,,,0.,
21,5,105,0.14,0.036,0.024,,,0.,
35,3,105,0.14,0.036,0.024,,,0.004,
105,1,105,0.175,0.06,0.043,,,0.,
1,106,106,0.152,0.048,0.032,,,0.,
2,53,106,0.14,0.043,0.032,,,0.003,
53,2,106,0.147,0.056,0.043,,,0.,
106,1,106,0.171,0.063,0.048,,,0.,
1,107,107,0.152,0.039,0.027,,,0.,
107,1,107,0.18,0.06,0.048,,,0.,
1,108,108,0.16,0.04,0.032,,,0.,
2,54,108,0.14,0.043,0.028,,,0.,
3,36,108,0.135,0.036,0.024,,,0.,
4,27,108,0.135,0.031,0.019,,,0.,
6,18,108,0.14,0.036,0.024,,,0.,
9,12,108,0.144,0.036,0.028,,,0.004,
12,9,108,0.143,0.036,0.027,,,0.,
18,6,108,0.144,0.036,0.028,,,0.,
27,4,108,0.144,0.04,0.027,,,0.,
36,3,108,0.144,0.036,0.028,,,0.,
54,2,108,0.147,0.048,0.035,,,0.,
108,1,108,0.175,0.055,0.048,,,0.,
1,109,109,0.163,0.048,0.036,,,0.,
109,1,109,0.184,0.064,0.043,,,0.,
1,110,110,0.155,0.039,0.031,,,0.,
2,55,110,0.147,0.04,0.032,,,0.,
5,22,110,0.14,0.035,0.027,,,0.,
10,11,110,0.143,0.036,0.028,,,0.,
11,10,110,0.144,0.036,0.028,,,0.,
22,5,110,0.147,0.04,0.028,,,0.003,
55,2,110,0.156,0.052,0.043,,,0.,
110,1,110,0.175,0.063,0.048,,,0.,
1,111,111,0.152,0.048,0.036,,,0.,
3,37,111,0.147,0.036,0.024,,,0.,
37,3,111,0.156,0.039,0.031,,,0.,
111,1,111,0.179,0.064,0.048,,,0.,
1,112,112,0.16,0.043,0.036,,,0.,
2,56,112,0.147,0.043,0.032,,,0.,
4,28,112,0.144,0.036,0.024,,,0.,
7,16,112,0.143,0.036,0.028,,,0.,
8,14,112,0.143,0.036,0.027,,,0.,
14,8,112,0.148,0.036,0.028,,,0.,
16,7,112,0.147,0.036,0.024,,,0.,
28,4,112,0.152,0.036,0.027,,,0.,
56,2,112,0.152,0.051,0.043,,,0.003,
112,1,112,0.18,0.06,0.048,,,0.,
1,113,113,0.163,0.048,0.031,,,0.,
113,1,113,0.187,0.064,0.052,,,0.,
1,114,114,0.152,0.048,0.036,,,0.,
2,57,114,0.14,0.048,0.032,,,0.,
3,38,114,0.139,0.04,0.028,,,0.,
6,19,114,0.14,0.031,0.024,,,0.,
19,6,114,0.144,0.036,0.024,,,0.003,
38,3,114,0.152,0.048,0.031,,,0.,
