Rewrite-lhs-for-regression-quadratic: 3.8100451512821e-10*x^2+-4.06351257652185e-05*x+1.70893870387753
autorewrite-regression-cubic: 3.49560204557101e-09*x^3+-7.49344684177135e-06*x^2+0.00497156878688291*x+-0.38545386891051
rewrite!-regression-cubic: 2.76972949776214e-10*x^3+3.83650440800478e-07*x^2+0.000697877925568823*x+-0.015397111964633
rewrite-strat(bottomup)-regression-cubic: 8.14932186303418e-09*x^3+4.30586835865518e-06*x^2+0.00122392385032211*x+-0.019182419469408
rewrite-strat(topdown)-regression-cubic: -1.04791866318342e-09*x^3+4.91146429123494e-06*x^2+-0.00149362668548519*x+0.167773215044526
setoid-rewrite-regression-cubic: 2.09163025279114e-11*x^3+4.52868950877466e-06*x^2+0.000306849694608174*x+0.0260572768056161
ssr-rewrite!-regression-cubic: 3.55727277179297e-09*x^3+-5.52446832972615e-06*x^2+0.00405258831022216*x+-0.282212020431173
