n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
3695,5.715,5.324,5.284,3.748,9.847,0.191,0.369,0.255,,
3697,5.763,5.372,5.324,3.74,10.811,0.191,0.327,0.318,,
3699,5.88,5.475,5.431,3.756,9.887,0.195,0.313,0.274,,
3701,5.787,5.396,5.34,3.708,9.88,0.195,0.245,0.301,,
3703,5.78,5.387,5.344,3.751,10.792,0.195,0.25,0.309,,
3705,5.775,5.387,5.344,3.74,9.847,0.2,0.303,0.239,,
3707,5.787,5.391,5.347,3.764,9.904,0.196,0.302,0.361,,
3709,5.796,5.403,5.363,3.76,10.096,0.195,0.319,0.322,,
3711,5.78,5.391,5.355,3.827,9.952,0.199,0.318,0.317,,
3713,5.783,5.391,5.344,3.827,10.935,0.195,0.306,0.323,,
3715,5.88,5.483,5.431,3.792,10.068,0.203,0.266,0.245,,
3717,5.891,5.471,5.42,3.827,10.084,0.2,0.235,0.338,,
3719,5.828,5.431,5.384,3.796,10.235,0.196,0.323,0.249,,
3721,5.851,5.447,5.403,3.788,10.132,0.195,0.244,0.242,,
3723,5.811,5.423,5.376,3.771,11.,0.204,0.316,0.31,,
3725,5.819,5.427,5.38,3.827,10.119,0.195,0.316,0.292,,
3727,5.864,5.467,5.42,3.824,10.128,0.199,0.32,0.315,,
3729,5.823,5.428,5.379,3.819,10.332,0.2,0.322,0.289,,
3731,5.84,5.448,5.404,3.827,10.163,0.195,0.25,0.287,,
3733,5.988,5.587,5.543,3.816,11.128,0.199,0.251,0.312,,
3735,5.896,5.507,5.467,3.836,10.216,0.2,0.309,0.32,,
3737,5.927,5.539,5.5,3.884,10.247,0.195,0.317,0.308,,
3739,5.891,5.503,5.46,3.815,11.192,0.2,0.318,0.325,,
3741,5.879,5.492,5.448,3.82,10.251,0.204,0.24,0.387,,
3743,5.899,5.503,5.46,3.831,10.255,0.195,0.316,0.314,,
3745,5.892,5.492,5.448,3.804,11.148,0.199,0.27,0.256,,
3747,5.884,5.488,5.44,3.84,10.284,0.204,0.313,0.318,,
3749,6.015,5.619,5.572,3.871,11.083,0.2,0.255,0.245,,
3751,5.923,5.536,5.487,3.835,11.192,0.2,0.24,0.239,,
3753,5.932,5.539,5.492,3.843,10.179,0.204,0.321,0.321,,
3755,5.92,5.508,5.46,3.831,11.107,0.195,0.324,0.309,,
3757,5.916,5.524,5.479,3.847,10.42,0.195,0.312,0.326,,
3759,5.908,5.52,5.471,3.859,10.283,0.199,0.32,0.314,,
3761,5.923,5.532,5.492,3.911,11.236,0.199,0.24,0.308,,
3763,5.912,5.519,5.467,3.875,10.336,0.204,0.329,0.327,,
3765,6.051,5.671,5.627,3.864,10.307,0.207,0.328,0.251,,
3767,5.988,5.591,5.551,3.943,11.307,0.2,0.316,0.326,,
3769,6.003,5.608,5.564,3.951,10.203,0.204,0.25,0.24,,
3771,5.947,5.552,5.507,3.963,11.112,0.207,0.242,0.238,,
3773,5.979,5.588,5.539,3.876,10.439,0.204,0.237,0.235,,
3775,5.972,5.587,5.539,3.892,10.231,0.203,0.236,0.276,,
3777,5.948,5.564,5.515,3.916,10.46,0.204,0.244,0.237,,
3779,5.963,5.576,5.531,3.912,10.359,0.204,0.31,0.311,,
3781,6.092,5.703,5.659,3.884,11.263,0.204,0.248,0.312,,
3783,6.039,5.639,5.591,3.911,10.351,0.207,0.316,0.25,,
3785,6.008,5.615,5.568,3.94,10.347,0.199,0.254,0.314,,
3787,5.979,5.596,5.552,3.907,10.472,0.207,0.254,0.244,,
3789,6.027,5.648,5.608,3.951,10.344,0.207,0.247,0.236,,
3791,6.027,5.631,5.579,3.903,11.368,0.204,0.244,0.233,,
3793,6.011,5.615,5.567,3.912,10.239,0.204,0.236,0.235,,
3795,6.06,5.652,5.608,3.952,11.212,0.204,0.237,0.235,,
3797,6.1,5.688,5.635,3.927,10.476,0.2,0.323,0.252,,
3799,6.123,5.724,5.676,3.927,11.188,0.204,0.35,0.322,,
3801,6.063,5.68,5.635,3.92,10.528,0.207,0.322,0.321,,
3803,6.099,5.708,5.655,3.936,10.467,0.204,0.367,0.264,,
3805,6.079,5.692,5.644,3.911,10.596,0.207,0.324,0.258,,
3807,6.055,5.668,5.619,3.943,10.46,0.211,0.369,0.325,,
3809,6.076,5.684,5.644,3.931,10.64,0.204,0.332,0.335,,
3811,6.043,5.655,5.607,3.96,10.471,0.207,0.338,0.251,,
3813,6.14,5.739,5.692,4.011,11.48,0.212,0.33,0.327,,
3815,6.199,5.792,5.74,3.987,10.387,0.207,0.329,0.311,,
3817,6.083,5.695,5.652,4.011,11.307,0.207,0.328,0.254,,
3819,6.136,5.739,5.692,4.003,10.712,0.215,0.316,0.354,,
3821,6.1,5.712,5.663,3.996,10.463,0.204,0.332,0.254,,
3823,6.155,5.755,5.707,3.991,10.711,0.204,0.247,0.331,,
3825,6.176,5.768,5.711,4.,10.6,0.207,0.26,0.329,,
3827,6.135,5.736,5.684,4.016,11.583,0.212,0.259,0.25,,
3829,6.152,5.764,5.716,4.003,10.536,0.204,0.317,0.326,,
3831,6.188,5.8,5.748,4.003,11.555,0.207,0.326,0.319,,
3833,6.215,5.815,5.768,4.023,10.592,0.211,0.314,0.329,,
3835,6.155,5.76,5.712,4.028,11.448,0.204,0.317,0.254,,
3837,6.147,5.752,5.708,4.012,10.815,0.203,0.329,0.289,,
3839,6.152,5.76,5.712,4.028,10.596,0.212,0.254,0.249,,
3841,6.18,5.768,5.724,3.996,11.707,0.207,0.322,0.358,,
3843,6.152,5.756,5.707,4.023,10.528,0.212,0.264,0.318,,
3845,6.184,5.784,5.736,4.016,11.507,0.212,0.324,0.323,,
3847,6.351,5.931,5.884,4.031,10.792,0.207,0.321,0.254,,
3849,6.256,5.847,5.804,4.043,10.676,0.207,0.336,0.329,,
3851,6.256,5.851,5.804,4.051,10.903,0.207,0.327,0.26,,
3853,6.228,5.831,5.783,4.023,10.715,0.211,0.247,0.318,,
3855,6.235,5.836,5.784,4.039,11.519,0.207,0.33,0.26,,
3857,6.215,5.824,5.776,4.092,10.82,0.211,0.326,0.323,,
3859,6.24,5.832,5.787,4.027,11.652,0.216,0.382,0.322,,
3861,6.228,5.832,5.779,4.091,10.891,0.212,0.32,0.319,,
3863,6.427,6.003,5.956,4.135,10.787,0.216,0.338,0.329,,
3865,6.327,5.92,5.864,4.111,11.692,0.215,0.319,0.311,,
3867,6.292,5.895,5.851,4.096,10.899,0.211,0.262,0.313,,
3869,6.264,5.871,5.819,4.099,11.648,0.212,0.292,0.262,,
3871,6.251,5.864,5.812,4.099,10.932,0.211,0.323,0.254,,
3873,6.263,5.86,5.804,4.083,10.876,0.219,0.329,0.321,,
3875,6.264,5.86,5.816,4.104,11.755,0.212,0.322,0.334,,
3877,6.264,5.863,5.807,4.076,11.047,0.215,0.317,0.263,,
3879,6.435,6.028,5.98,4.112,10.931,0.216,0.341,0.329,,
3881,6.336,5.936,5.887,4.084,11.051,0.212,0.311,0.328,,
3883,6.347,5.948,5.904,4.112,10.952,0.216,0.28,0.257,,
3885,6.332,5.935,5.887,4.132,11.855,0.219,0.251,0.252,,
3887,6.283,5.904,5.856,4.111,11.055,0.212,0.317,0.336,,
3889,6.307,5.92,5.872,4.107,10.892,0.211,0.325,0.334,,
3891,6.315,5.92,5.876,4.103,12.007,0.211,0.256,0.33,,
3893,6.34,5.947,5.899,4.148,10.864,0.216,0.327,0.332,,
3895,6.471,6.076,6.024,4.103,11.783,0.212,0.335,0.263,,
3897,6.372,5.975,5.931,4.155,11.195,0.219,0.314,0.335,,
3899,6.387,5.991,5.951,4.108,10.952,0.219,0.255,0.328,,
3901,6.351,5.956,5.911,4.159,12.083,0.215,0.26,0.326,,
3903,6.384,5.967,5.916,4.139,10.972,0.216,0.261,0.328,,
3905,6.347,5.943,5.891,4.148,11.051,0.219,0.26,0.275,,
3907,6.344,5.96,5.911,4.155,11.987,0.216,0.337,0.335,,
3909,6.427,6.023,5.971,4.16,11.123,0.219,0.262,0.329,,
3911,6.5,6.1,6.06,4.199,11.895,0.211,0.265,0.328,,
3913,6.42,6.028,5.979,4.248,11.164,0.219,0.264,0.333,,
3915,6.448,6.043,5.996,4.26,11.079,0.224,0.26,0.322,,
3917,6.448,6.043,5.996,4.188,12.032,0.215,0.331,0.331,,
3919,6.423,6.031,5.987,4.179,11.164,0.219,0.337,0.336,,
3921,6.436,6.047,6.003,4.163,11.108,0.223,0.339,0.345,,
3923,6.456,6.068,6.02,4.211,11.336,0.215,0.32,0.264,,
3925,6.475,6.092,6.043,4.208,11.131,0.219,0.327,0.324,,
3927,6.608,6.195,6.144,4.196,11.891,0.211,0.343,0.342,,
3929,6.52,6.127,6.079,4.204,11.095,0.216,0.328,0.343,,
3931,6.536,6.14,6.096,4.22,10.979,0.224,0.268,0.346,,
3933,6.512,6.123,6.076,4.211,12.099,0.215,0.263,0.309,,
3935,6.511,6.119,6.076,4.228,11.02,0.223,0.265,0.247,,
3937,6.5,6.115,6.068,4.228,11.956,0.224,0.341,0.296,,
3939,6.496,6.108,6.068,4.208,11.096,0.219,0.35,0.262,,
3941,6.592,6.208,6.159,4.231,11.091,0.228,0.374,0.355,,
3943,6.583,6.187,6.139,4.228,12.059,0.219,0.389,0.351,,
3945,6.608,6.199,6.152,4.263,11.16,0.223,0.263,0.249,,
3947,6.576,6.172,6.123,4.215,11.131,0.223,0.254,0.248,,
3949,6.555,6.168,6.12,4.251,12.167,0.216,0.246,0.246,,
3951,6.536,6.14,6.096,4.24,11.115,0.216,0.249,0.328,,
3953,6.568,6.176,6.128,4.255,11.152,0.223,0.334,0.332,,
3955,6.551,6.155,6.112,4.264,12.148,0.227,0.34,0.35,,
3957,6.628,6.216,6.171,4.307,11.115,0.219,0.341,0.343,,
3959,6.663,6.239,6.188,4.32,11.203,0.223,0.342,0.266,,
3961,6.588,6.18,6.132,4.32,12.119,0.223,0.251,0.321,,
3963,6.547,6.152,6.099,4.268,11.244,0.219,0.296,0.34,,
3965,6.552,6.155,6.112,4.295,11.239,0.219,0.267,0.339,,
3967,6.583,6.184,6.135,4.291,12.22,0.224,0.26,0.342,,
3969,6.604,6.207,6.163,4.292,11.252,0.224,0.324,0.348,,
3971,6.592,6.192,6.144,4.3,12.068,0.224,0.264,0.392,,
3973,6.695,6.303,6.255,4.311,13.136,0.228,0.264,0.323,,
3975,6.692,6.288,6.243,4.391,12.127,0.227,0.338,0.336,,
3977,6.607,6.216,6.168,4.263,13.2,0.223,0.342,0.339,,
3979,6.627,6.227,6.179,4.512,13.171,0.228,0.269,0.329,,
3981,6.64,6.26,6.211,4.327,12.071,0.223,0.344,0.327,,
3983,6.644,6.247,6.199,4.335,12.231,0.227,0.331,0.343,,
3985,6.656,6.248,6.204,4.324,13.26,0.223,0.347,0.359,,
3987,6.663,6.268,6.211,4.324,12.104,0.228,0.265,0.369,,
3989,6.692,6.283,6.231,4.331,12.283,0.228,0.396,0.359,,
3991,6.779,6.372,6.324,4.351,13.304,0.223,0.272,0.351,,
3993,6.699,6.295,6.251,4.336,12.311,0.228,0.342,0.348,,
3995,6.708,6.304,6.256,4.327,12.34,0.224,0.336,0.335,,
3997,6.676,6.275,6.224,4.355,13.34,0.228,0.337,0.266,,
3999,6.671,6.276,6.227,4.355,12.212,0.228,0.263,0.317,,
4001,6.743,6.328,6.28,4.364,13.152,0.223,0.263,0.255,,
4003,6.744,6.336,6.279,4.4,13.696,0.228,0.262,0.333,,
4005,6.775,6.38,6.327,4.428,12.488,0.228,0.333,0.265,,
4007,6.855,6.44,6.396,4.38,12.584,0.227,0.266,0.263,,
4009,6.787,6.38,6.331,4.427,12.579,0.224,0.251,0.329,,
4011,6.756,6.356,6.304,4.384,12.575,0.228,0.265,0.321,,
4013,6.787,6.38,6.323,4.391,12.664,0.228,0.316,0.346,,
4015,6.784,6.384,6.332,4.384,12.664,0.223,0.269,0.319,,
4017,6.775,6.371,6.323,4.376,12.644,0.231,0.329,0.319,,
4019,6.792,6.391,6.344,4.411,12.743,0.228,0.35,0.278,,
4021,6.912,6.519,6.467,4.428,12.715,0.228,0.397,0.329,,
4023,6.856,6.46,6.408,4.403,12.907,0.231,0.336,0.353,,
4025,6.908,6.496,6.447,4.384,12.807,0.223,0.341,0.33,,
4027,6.872,6.456,6.403,4.416,12.84,0.231,0.341,0.266,,
4029,6.84,6.448,6.395,4.407,12.768,0.227,0.332,0.328,,
4031,6.819,6.423,6.379,4.447,12.852,0.231,0.333,0.277,,
4033,6.891,6.484,6.44,4.4,12.812,0.223,0.266,0.266,,
4035,6.84,6.443,6.391,4.44,12.851,0.228,0.262,0.261,,
4037,6.992,6.587,6.543,4.408,12.888,0.228,0.251,0.341,,
4039,6.92,6.524,6.476,4.483,12.783,0.228,0.263,0.268,,
4041,6.872,6.472,6.415,4.42,13.063,0.227,0.332,0.338,,
4043,6.891,6.484,6.436,4.463,12.936,0.224,0.275,0.271,,
4045,6.84,6.435,6.384,4.456,12.92,0.231,0.33,0.333,,
4047,6.88,6.492,6.444,4.456,13.099,0.231,0.345,0.273,,
4049,6.871,6.471,6.42,4.452,12.971,0.231,0.323,0.328,,
4051,6.979,6.576,6.528,4.516,12.924,0.231,0.344,0.339,,
4053,6.971,6.572,6.528,4.476,14.423,0.228,0.346,0.33,,
4055,6.956,6.559,6.515,4.472,12.983,0.231,0.339,0.328,,
4057,6.912,6.507,6.463,4.483,13.,0.231,0.395,0.275,,
4059,6.948,6.547,6.503,4.46,13.055,0.228,0.342,0.269,,
4061,6.94,6.543,6.496,4.5,13.096,0.231,0.265,0.334,,
4063,6.963,6.547,6.496,4.491,13.063,0.227,0.354,0.356,,
4065,6.923,6.52,6.468,4.531,13.1,0.231,0.352,0.344,,
4067,7.087,6.684,6.631,4.472,13.184,0.231,0.278,0.372,,
4069,6.996,6.588,6.531,4.527,13.252,0.228,0.347,0.337,,
4071,6.959,6.556,6.508,4.548,13.223,0.231,0.351,0.339,,
4073,6.992,6.588,6.535,4.539,13.175,0.231,0.34,0.345,,
4075,6.979,6.572,6.519,4.615,13.144,0.231,0.271,0.318,,
4077,6.979,6.576,6.531,4.552,13.179,0.231,0.354,0.341,,
4079,6.963,6.56,6.516,4.519,13.176,0.231,0.345,0.386,,
4081,7.023,6.619,6.572,4.588,13.208,0.228,0.348,0.341,,
4083,7.119,6.719,6.663,4.544,13.223,0.231,0.279,0.348,,
4085,7.016,6.612,6.564,4.576,13.264,0.235,0.346,0.341,,
4087,7.047,6.643,6.599,4.563,13.284,0.235,0.335,0.401,,
4089,6.984,6.583,6.536,4.576,13.187,0.235,0.284,0.347,,
4091,7.024,6.619,6.564,4.563,13.251,0.236,0.346,0.327,,
4093,7.043,6.643,6.587,4.576,14.488,0.231,0.362,0.348,,
4095,7.032,6.631,6.583,4.572,14.611,0.236,0.341,0.397,,
4097,7.123,6.724,6.676,4.596,14.675,0.236,0.311,0.347,,
4099,7.144,6.739,6.692,4.567,13.344,0.231,0.355,0.281,,
4101,7.096,6.695,6.644,4.628,13.244,0.24,0.334,0.341,,
4103,7.112,6.711,6.663,4.644,13.307,0.231,0.308,0.275,,
4105,7.112,6.703,6.652,4.648,13.196,0.235,0.335,0.292,,
4107,7.084,6.676,6.624,4.612,13.264,0.231,0.332,0.353,,
4109,7.127,6.724,6.675,4.643,13.288,0.236,0.337,0.337,,
4111,7.091,6.699,6.648,4.639,13.379,0.231,0.347,0.345,,
4113,7.172,6.779,6.731,4.604,13.415,0.231,0.403,0.354,,
4115,7.192,6.792,6.743,4.66,13.152,0.236,0.343,0.327,,
4117,7.119,6.712,6.659,4.64,13.172,0.235,0.335,0.353,,
4119,7.115,6.715,6.663,4.648,13.159,0.239,0.274,0.335,,
4121,7.115,6.712,6.655,4.624,13.219,0.235,0.33,0.278,,
4123,7.087,6.692,6.644,4.644,13.232,0.24,0.343,0.354,,
4125,7.112,6.719,6.675,4.655,13.331,0.24,0.278,0.34,,
4127,7.14,6.739,6.692,4.659,13.348,0.24,0.344,0.28,,
4129,7.24,6.844,6.792,4.672,13.316,0.239,0.309,0.357,,
4131,7.247,6.844,6.792,4.655,13.292,0.236,0.343,0.345,,
4133,7.207,6.804,6.755,4.643,13.323,0.24,0.27,0.264,,
4135,7.175,6.775,6.724,4.687,13.244,0.24,0.349,0.285,,
4137,7.212,6.792,6.74,4.659,13.331,0.243,0.358,0.304,,
4139,7.192,6.783,6.731,4.683,13.288,0.235,0.274,0.35,,
4141,7.231,6.819,6.775,4.664,13.316,0.24,0.343,0.281,,
4143,7.219,6.807,6.756,4.707,13.344,0.24,0.341,0.356,,
4145,7.247,6.84,6.787,4.652,13.435,0.24,0.356,0.355,,
4147,7.311,6.9,6.852,4.844,13.364,0.235,0.344,0.28,,
4149,7.268,6.86,6.807,4.719,13.423,0.24,0.326,0.363,,
4151,7.235,6.823,6.779,4.763,13.451,0.24,0.348,0.275,,
4153,7.248,6.847,6.796,4.735,13.436,0.243,0.279,0.271,,
4155,7.248,6.847,6.8,4.747,13.468,0.24,0.27,0.265,,
4157,7.275,6.872,6.823,4.719,13.483,0.243,0.259,0.262,,
4159,7.307,6.903,6.847,4.768,13.415,0.24,0.353,0.339,,
4161,7.327,6.916,6.872,4.764,13.399,0.243,0.358,0.352,,
4163,7.384,6.976,6.927,4.736,13.399,0.239,0.339,0.347,,
4165,7.319,6.916,6.868,4.696,13.488,0.243,0.271,0.382,,
4167,7.355,6.927,6.88,4.748,13.451,0.243,0.279,0.346,,
4169,7.319,6.907,6.847,4.708,13.496,0.243,0.267,0.267,,
4171,7.304,6.896,6.836,4.739,13.6,0.243,0.348,0.279,,
4173,7.283,6.88,6.827,4.743,13.607,0.243,0.349,0.357,,
4175,7.288,6.891,6.84,4.739,13.48,0.243,0.364,0.289,,
4177,7.34,6.943,6.891,4.768,13.439,0.247,0.355,0.36,,
4179,7.427,7.024,6.976,4.76,13.367,0.239,0.353,0.349,,
4181,7.375,6.976,6.936,4.735,13.448,0.243,0.336,0.354,,
4183,7.355,6.956,6.912,4.759,13.412,0.243,0.359,0.362,,
4185,7.315,6.923,6.88,4.788,13.407,0.247,0.29,0.278,,
4187,7.323,6.927,6.879,4.784,13.42,0.243,0.346,0.361,,
4189,7.355,6.94,6.888,4.78,13.491,0.247,0.349,0.362,,
4191,7.344,6.931,6.884,4.8,13.607,0.235,0.361,0.345,,
4193,7.392,6.98,6.927,4.824,13.571,0.247,0.354,0.349,,
4195,7.439,7.02,6.976,4.827,13.66,0.243,0.365,0.345,,
4197,7.395,6.976,6.927,4.827,13.624,0.247,0.285,0.344,,
4199,7.38,6.971,6.916,4.847,13.635,0.243,0.403,0.359,,
4201,7.364,6.963,6.916,4.815,13.564,0.247,0.28,0.302,,
4203,7.395,6.983,6.927,4.831,13.556,0.247,0.343,0.351,,
4205,7.372,6.963,6.912,4.835,13.592,0.247,0.354,0.365,,
4207,7.387,6.992,6.948,4.807,13.615,0.252,0.282,0.353,,
4209,7.443,7.052,7.004,4.867,13.591,0.243,0.362,0.334,,
4211,7.531,7.103,7.055,4.855,13.66,0.243,0.356,0.346,,
4213,7.467,7.051,6.996,4.819,13.708,0.247,0.359,0.352,,
4215,7.408,7.,6.944,4.839,13.703,0.251,0.337,0.341,,
4217,7.427,7.024,6.971,4.851,13.731,0.247,0.367,0.284,,
4219,7.435,7.032,6.972,4.827,13.703,0.252,0.386,0.275,,
4221,7.443,7.043,6.987,4.852,13.756,0.248,0.274,0.273,,
4223,7.427,7.032,6.971,4.84,13.707,0.247,0.259,0.352,,
4225,7.452,7.064,7.011,4.851,13.716,0.243,0.366,0.281,,
4227,7.591,7.171,7.119,4.836,13.672,0.248,0.36,0.361,,
4229,7.511,7.107,7.055,4.856,13.715,0.247,0.399,0.365,,
4231,7.536,7.131,7.083,4.864,13.764,0.247,0.285,0.353,,
4233,7.5,7.1,7.043,4.887,13.707,0.252,0.283,0.362,,
4235,7.475,7.079,7.036,4.843,13.736,0.252,0.286,0.351,,
4237,7.511,7.1,7.048,4.907,13.7,0.256,0.327,0.359,,
4239,7.503,7.095,7.047,4.955,13.824,0.248,0.372,0.368,,
4241,7.532,7.131,7.087,4.943,13.843,0.252,0.353,0.292,,
4243,7.664,7.244,7.192,4.919,13.824,0.247,0.357,0.347,,
4245,7.587,7.179,7.123,4.891,13.831,0.256,0.348,0.358,,
4247,7.583,7.184,7.127,4.927,13.799,0.252,0.35,0.418,,
4249,7.547,7.148,7.1,4.915,13.803,0.247,0.29,0.279,,
4251,7.551,7.148,7.1,4.916,13.868,0.256,0.273,0.272,,
4253,7.543,7.155,7.104,4.912,13.78,0.247,0.268,0.264,,
4255,7.547,7.148,7.099,4.912,13.823,0.256,0.268,0.344,,
4257,7.604,7.203,7.152,4.916,13.92,0.252,0.349,0.284,,
4259,7.716,7.311,7.264,4.923,13.892,0.256,0.346,0.405,,
4261,7.684,7.279,7.224,4.923,13.848,0.251,0.371,0.296,,
4263,7.68,7.268,7.22,4.923,13.971,0.256,0.288,0.285,,
4265,7.644,7.235,7.18,4.988,13.895,0.251,0.266,0.268,,
4267,7.64,7.231,7.167,4.932,13.884,0.256,0.356,0.35,,
4269,7.64,7.231,7.18,4.956,13.783,0.256,0.343,0.285,,
4271,7.684,7.271,7.224,5.076,13.799,0.256,0.285,0.359,,
4273,7.768,7.355,7.3,4.947,13.848,0.252,0.36,0.365,,
4275,7.768,7.344,7.291,4.976,13.94,0.256,0.285,0.352,,
4277,7.747,7.347,7.299,4.996,13.892,0.252,0.284,0.363,,
4279,7.556,7.167,7.123,4.963,13.884,0.256,0.29,0.348,,
4281,7.532,7.148,7.103,5.012,13.896,0.256,0.363,0.323,,
4283,7.568,7.183,7.139,5.052,13.928,0.256,0.356,0.357,,
4285,7.572,7.18,7.135,5.036,14.004,0.252,0.292,0.281,,
4287,7.571,7.18,7.136,5.059,14.119,0.256,0.283,0.348,,
4289,7.627,7.22,7.172,5.015,14.016,0.256,0.434,0.362,,
4291,7.712,7.315,7.264,5.047,14.012,0.259,0.374,0.286,,
4293,7.667,7.272,7.223,5.019,14.063,0.259,0.294,0.356,,
4295,7.652,7.248,7.199,5.031,14.159,0.259,0.352,0.375,,
4297,7.652,7.251,7.195,5.011,14.079,0.252,0.362,0.371,,
4299,7.632,7.239,7.192,5.043,14.188,0.26,0.367,0.355,,
4301,7.608,7.22,7.18,5.032,14.152,0.256,0.374,0.368,,
4303,7.632,7.24,7.196,5.023,14.204,0.26,0.363,0.36,,
4305,7.684,7.3,7.252,5.071,14.183,0.26,0.295,0.289,,
4307,7.743,7.327,7.283,5.043,14.199,0.26,0.354,0.416,,
4309,7.708,7.311,7.264,5.091,14.192,0.264,0.37,0.375,,
4311,7.676,7.268,7.224,5.047,13.976,0.259,0.348,0.364,,
4313,7.631,7.236,7.192,5.019,13.912,0.259,0.385,0.38,,
4315,7.619,7.231,7.184,5.059,13.943,0.256,0.372,0.332,,
4317,7.644,7.256,7.212,5.059,13.9,0.259,0.374,0.33,,
4319,7.663,7.272,7.228,5.087,13.955,0.259,0.364,0.3,,
4321,7.736,7.332,7.287,5.051,13.956,0.259,0.282,0.284,,
4323,7.707,7.304,7.256,5.092,14.008,0.259,0.346,0.364,,
4325,7.739,7.336,7.292,5.123,14.099,0.26,0.353,0.331,,
4327,7.688,7.291,7.243,5.112,14.003,0.26,0.353,0.354,,
4329,7.692,7.295,7.247,5.124,14.084,0.259,0.371,0.418,,
4331,7.683,7.292,7.248,5.108,14.068,0.263,0.338,0.352,,
4333,7.683,7.292,7.248,5.099,14.144,0.259,0.369,0.381,,
4335,7.675,7.288,7.248,5.112,14.083,0.264,0.311,0.367,,
4337,7.759,7.376,7.328,5.132,14.175,0.259,0.37,0.361,,
4339,7.827,7.436,7.387,5.115,14.159,0.264,0.293,0.374,,
4341,7.82,7.42,7.372,5.144,14.203,0.264,0.361,0.358,,
4343,7.771,7.351,7.304,5.175,14.164,0.259,0.285,0.28,,
4345,7.743,7.347,7.292,5.184,14.192,0.264,0.361,0.358,,
4347,7.756,7.363,7.315,5.268,14.115,0.264,0.287,0.354,,
4349,7.776,7.384,7.332,5.132,14.132,0.264,0.303,0.353,,
4351,7.764,7.372,7.324,5.135,14.244,0.264,0.373,0.302,,
4353,7.908,7.524,7.475,5.143,14.271,0.264,0.285,0.277,,
4355,7.84,7.436,7.387,5.123,14.248,0.264,0.27,0.275,,
4357,7.868,7.471,7.427,5.152,14.16,0.268,0.351,0.374,,
4359,7.787,7.387,7.344,5.144,14.107,0.264,0.301,0.284,,
4361,7.819,7.42,7.376,5.16,14.112,0.268,0.359,0.289,,
4363,7.824,7.423,7.38,5.139,14.088,0.263,0.358,0.369,,
4365,7.815,7.427,7.38,5.159,14.123,0.268,0.38,0.297,,
4367,7.864,7.463,7.416,5.168,14.124,0.268,0.372,0.374,,
4369,7.963,7.547,7.492,5.215,14.076,0.263,0.368,0.372,,
4371,7.888,7.492,7.452,5.215,14.119,0.268,0.362,0.372,,
4373,7.931,7.528,7.48,5.268,14.096,0.264,0.293,0.36,,
4375,7.86,7.463,7.416,5.192,14.112,0.276,0.322,0.428,,
4377,7.88,7.479,7.427,5.228,14.155,0.268,0.367,0.372,,
4379,7.887,7.484,7.423,5.2,14.243,0.268,0.373,0.355,,
4381,7.859,7.467,7.415,5.24,14.231,0.264,0.368,0.344,,
4383,7.964,7.572,7.528,5.264,14.175,0.271,0.377,0.298,,
4385,7.971,7.572,7.523,5.299,14.304,0.268,0.286,0.372,,
4387,7.956,7.559,7.511,5.26,14.291,0.276,0.298,0.376,,
4389,7.908,7.511,7.463,5.291,14.327,0.263,0.354,0.361,,
4391,7.896,7.503,7.46,5.268,14.248,0.276,0.29,0.364,,
4393,7.884,7.496,7.448,5.271,14.307,0.268,0.438,0.384,,
4395,7.904,7.507,7.456,5.268,14.331,0.272,0.355,0.369,,
4397,7.912,7.512,7.471,5.311,14.375,0.268,0.354,0.298,,
4399,8.047,7.647,7.599,5.283,14.387,0.276,0.291,0.285,,
4401,7.983,7.584,7.539,5.295,14.367,0.271,0.36,0.309,,
4403,7.971,7.576,7.528,5.291,14.371,0.28,0.304,0.376,,
4405,7.912,7.527,7.483,5.299,14.431,0.264,0.349,0.363,,
4407,7.908,7.515,7.471,5.315,14.395,0.276,0.366,0.371,,
4409,7.971,7.576,7.532,5.431,14.259,0.268,0.334,0.287,,
4411,7.955,7.556,7.512,5.367,14.231,0.272,0.288,0.364,,
4413,8.011,7.612,7.564,5.336,14.299,0.271,0.31,0.364,,
4415,8.028,7.631,7.583,5.347,14.24,0.28,0.373,0.38,,
4417,8.044,7.652,7.608,5.324,14.243,0.272,0.36,0.344,,
4419,7.979,7.572,7.523,5.351,14.36,0.276,0.367,0.424,,
4421,8.,7.591,7.536,5.348,14.423,0.268,0.354,0.372,,
4423,8.003,7.604,7.547,5.36,14.336,0.275,0.442,0.307,,
4425,7.996,7.612,7.564,5.408,14.427,0.271,0.314,0.29,,
4427,7.98,7.587,7.539,5.351,14.367,0.28,0.285,0.277,,
4429,8.079,7.692,7.648,5.344,14.355,0.271,0.369,0.308,,
4431,8.095,7.703,7.655,5.396,14.344,0.272,0.366,0.299,,
4433,8.079,7.68,7.631,5.367,14.367,0.271,0.366,0.372,,
4435,8.019,7.623,7.576,5.388,14.327,0.276,0.373,0.364,,
4437,7.996,7.599,7.559,5.375,14.408,0.271,0.378,0.362,,
4439,8.031,7.631,7.583,5.375,14.452,0.276,0.375,0.304,,
4441,8.019,7.628,7.579,5.423,14.471,0.271,0.368,0.372,,
4443,8.051,7.671,7.627,5.367,14.496,0.28,0.303,0.38,,
4445,8.168,7.76,7.72,5.428,14.544,0.276,0.296,0.383,,
