n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
3143,4.307,3.907,3.86,2.711,7.155,0.14,0.274,0.269,,
3145,4.307,3.911,3.856,2.695,7.139,0.147,0.278,0.258,,
3147,4.299,3.907,3.867,2.759,7.96,0.14,0.298,0.213,,
3149,4.315,3.923,3.876,2.711,6.903,0.143,0.264,0.207,,
3151,4.411,4.024,3.975,2.7,7.092,0.14,0.274,0.268,,
3153,4.352,3.943,3.9,2.736,7.976,0.152,0.262,0.267,,
3155,4.324,3.936,3.892,2.74,7.,0.144,0.221,0.282,,
3157,4.28,3.888,3.844,2.723,7.231,0.147,0.276,0.283,,
3159,4.307,3.92,3.876,2.751,7.947,0.14,0.215,0.272,,
3161,4.319,3.928,3.879,2.836,7.036,0.143,0.281,0.29,,
3163,4.331,3.939,3.891,2.776,7.319,0.143,0.257,0.287,,
3165,4.332,3.935,3.887,2.783,7.219,0.144,0.273,0.222,,
3167,4.472,4.064,4.019,2.779,7.196,0.144,0.268,0.213,,
3169,4.416,4.007,3.96,2.731,8.076,0.144,0.206,0.204,,
3171,4.4,4.008,3.951,2.751,7.,0.147,0.256,0.244,,
3173,4.367,3.976,3.923,2.804,7.251,0.147,0.287,0.211,,
3175,4.371,3.992,3.94,2.759,8.019,0.143,0.276,0.29,,
3177,4.376,3.98,3.927,2.756,7.111,0.143,0.214,0.325,,
3179,4.372,3.976,3.927,2.788,7.419,0.14,0.292,0.216,,
3181,4.352,3.967,3.923,2.779,7.235,0.147,0.303,0.245,,
3183,4.463,4.051,4.003,2.779,7.235,0.144,0.275,0.266,,
3185,4.416,4.019,3.972,2.791,8.14,0.147,0.218,0.277,,
3187,4.407,4.016,3.971,2.784,7.076,0.143,0.221,0.269,,
3189,4.396,4.008,3.968,2.795,7.347,0.151,0.282,0.226,,
3191,4.42,4.028,3.98,2.776,7.391,0.143,0.275,0.212,,
3193,4.412,4.011,3.971,2.804,7.295,0.147,0.238,0.215,,
3195,4.387,4.003,3.96,2.804,8.228,0.147,0.283,0.275,,
3197,4.399,4.003,3.956,2.783,7.167,0.144,0.219,0.28,,
3199,4.516,4.14,4.096,2.816,7.387,0.152,0.266,0.22,,
3201,4.46,4.064,4.016,2.799,8.144,0.148,0.207,0.273,,
3203,4.472,4.072,4.028,2.783,7.235,0.144,0.264,0.224,,
3205,4.452,4.052,4.007,2.852,8.259,0.147,0.267,0.222,,
3207,4.432,4.036,3.991,2.839,7.184,0.147,0.261,0.223,,
3209,4.468,4.072,4.019,2.824,7.4,0.152,0.212,0.265,,
3211,4.451,4.067,4.019,2.832,8.128,0.148,0.213,0.231,,
3213,4.44,4.056,4.008,2.827,7.24,0.147,0.209,0.203,,
3215,4.584,4.192,4.143,2.796,8.315,0.147,0.267,0.224,,
3217,4.5,4.103,4.063,2.839,7.211,0.147,0.283,0.248,,
3219,4.5,4.099,4.052,2.892,7.496,0.152,0.288,0.232,,
3221,4.48,4.084,4.032,2.871,8.187,0.156,0.281,0.286,,
3223,4.452,4.072,4.028,2.884,7.331,0.144,0.287,0.322,,
3225,4.447,4.063,4.016,2.892,8.319,0.152,0.217,0.273,,
3227,4.5,4.103,4.056,2.863,7.275,0.147,0.334,0.231,,
3229,4.463,4.079,4.031,2.848,7.488,0.152,0.278,0.282,,
3231,4.603,4.211,4.159,2.884,8.28,0.152,0.216,0.271,,
3233,4.535,4.127,4.076,2.872,7.336,0.152,0.289,0.212,,
3235,4.556,4.172,4.123,2.859,8.34,0.152,0.271,0.286,,
3237,4.496,4.107,4.056,2.864,7.384,0.147,0.211,0.21,,
3239,4.475,4.087,4.047,2.895,7.584,0.152,0.263,0.291,,
3241,4.527,4.128,4.084,2.947,7.588,0.155,0.215,0.276,,
