n,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite_strat(bottomup),cbv;rewrite_strat(topdown),cbv;setoid_rewrite
702,0.519,0.296,0.268,,,
703,0.524,0.296,0.263,,,
704,0.491,0.275,0.24,,,
705,0.532,0.308,0.275,,,
706,0.548,0.323,0.295,,,
707,0.587,0.292,0.264,,,
708,0.595,0.376,0.348,,,
709,0.507,0.287,0.263,,,
710,0.524,0.3,0.268,,,
711,0.5,0.275,0.247,,,
712,0.484,0.263,0.231,,,
713,0.492,0.275,0.243,,,
714,0.543,0.316,0.283,,,
715,0.516,0.292,0.259,,,
716,0.515,0.292,0.263,,,
717,0.527,0.312,0.28,,,
718,0.543,0.315,0.283,,,
719,0.62,0.304,0.276,,,
720,0.575,0.348,0.311,,,
721,0.544,0.295,0.271,,,
722,0.548,0.296,0.263,,,
723,0.536,0.312,0.288,,,
724,0.519,0.292,0.259,,,
725,0.543,0.295,0.264,,,
726,0.927,0.704,0.675,,,
727,0.56,0.331,0.3,,,
728,0.56,0.323,0.292,,,
729,0.628,0.307,0.28,,,
730,0.56,0.299,0.268,,,
731,0.52,0.292,0.26,,,
732,0.52,0.3,0.268,,,
733,0.548,0.328,0.292,,,
734,0.524,0.295,0.271,,,
735,0.531,0.307,0.275,,,
736,0.515,0.288,0.259,,,
737,0.564,0.32,0.287,,,
738,0.603,0.36,0.323,,,
739,0.551,0.304,0.268,,,
740,0.611,0.371,0.34,,,
741,0.563,0.307,0.275,,,
742,0.54,0.295,0.271,,,
743,0.551,0.319,0.288,,,
744,0.544,0.316,0.283,,,
745,0.556,0.316,0.284,,,
746,0.504,0.272,0.243,,,
747,0.539,0.316,0.287,,,
748,0.628,0.4,0.367,,,
749,0.647,0.415,0.384,,,
750,0.536,0.307,0.28,,,
751,0.531,0.296,0.263,,,
752,0.507,0.28,0.24,,,
753,0.563,0.312,0.275,,,
754,0.563,0.332,0.299,,,
755,0.527,0.299,0.268,,,
756,0.524,0.287,0.256,,,
757,0.56,0.328,0.292,,,
758,0.551,0.324,0.295,,,
759,0.615,0.383,0.355,,,
760,0.551,0.307,0.276,,,
761,0.656,0.335,0.304,,,
762,0.556,0.328,0.295,,,
763,0.52,0.295,0.268,,,
764,0.52,0.292,0.256,,,
765,0.556,0.324,0.287,,,
766,0.572,0.34,0.304,,,
767,0.519,0.292,0.259,,,
768,0.567,0.339,0.304,,,
769,0.635,0.4,0.367,,,
770,0.647,0.408,0.375,,,
771,0.603,0.344,0.307,,,
772,0.556,0.311,0.275,,,
773,0.532,0.292,0.264,,,
774,0.58,0.316,0.283,,,
775,0.563,0.335,0.307,,,
776,0.591,0.327,0.295,,,
777,0.559,0.328,0.295,,,
778,0.548,0.316,0.284,,,
779,0.6,0.367,0.331,,,
780,0.668,0.419,0.388,,,
781,0.612,0.367,0.327,,,
782,0.596,0.356,0.319,,,
783,0.539,0.303,0.272,,,
784,0.584,0.324,0.288,,,
785,0.584,0.34,0.303,,,
786,0.596,0.328,0.295,,,
787,0.659,0.403,0.372,,,
788,0.716,0.363,0.319,,,
789,0.572,0.331,0.295,,,
790,0.596,0.336,0.3,,,
791,0.548,0.315,0.284,,,
792,0.591,0.347,0.307,,,
793,0.591,0.348,0.319,,,
794,0.587,0.328,0.295,,,
795,0.647,0.408,0.376,,,
796,0.692,0.352,0.315,,,
797,0.555,0.319,0.291,,,
798,0.604,0.331,0.295,,,
799,0.555,0.312,0.284,,,
800,0.588,0.351,0.315,,,
801,0.548,0.303,0.271,,,
802,0.588,0.355,0.319,,,
803,0.588,0.348,0.312,,,
804,0.651,0.411,0.384,,,
805,0.651,0.403,0.367,,,
806,0.644,0.391,0.36,,,
807,0.603,0.363,0.328,,,
808,0.592,0.352,0.319,,,
809,0.56,0.312,0.288,,,
810,0.579,0.343,0.312,,,
811,0.588,0.348,0.312,,,
812,0.584,0.34,0.312,,,
813,0.68,0.347,0.316,,,
814,0.608,0.355,0.327,,,
815,0.608,0.364,0.331,,,
816,0.591,0.343,0.304,,,
817,0.6,0.355,0.319,,,
818,0.636,0.367,0.331,,,
819,0.623,0.376,0.339,,,
820,0.6,0.351,0.319,,,
821,0.591,0.339,0.311,,,
822,0.623,0.375,0.343,,,
823,0.731,0.483,0.443,,,
824,0.62,0.367,0.335,,,
825,0.62,0.367,0.331,,,
826,0.588,0.34,0.304,,,
827,0.608,0.355,0.323,,,
828,0.612,0.363,0.328,,,
829,0.627,0.372,0.336,,,
830,0.627,0.38,0.343,,,
831,0.656,0.407,0.367,,,
832,0.711,0.451,0.42,,,
833,0.62,0.371,0.336,,,
834,0.639,0.371,0.336,,,
835,0.603,0.347,0.312,,,
836,0.611,0.364,0.327,,,
837,0.62,0.363,0.327,,,
838,0.684,0.355,0.319,,,
839,0.675,0.42,0.387,,,
840,0.692,0.423,0.388,,,
841,0.639,0.36,0.319,,,
842,0.587,0.336,0.3,,,
843,0.623,0.367,0.327,,,
844,0.644,0.387,0.355,,,
845,0.611,0.363,0.328,,,
846,0.619,0.367,0.331,,,
847,0.68,0.423,0.388,,,
848,0.632,0.363,0.331,,,
849,0.636,0.376,0.339,,,
850,0.636,0.375,0.339,,,
851,0.652,0.391,0.355,,,
852,0.591,0.343,0.304,,,
853,0.652,0.384,0.348,,,
854,0.608,0.348,0.312,,,
855,0.611,0.363,0.324,,,
856,0.732,0.483,0.443,,,
857,0.635,0.384,0.351,,,
858,0.668,0.408,0.367,,,
859,0.648,0.395,0.355,,,
860,0.644,0.395,0.36,,,
861,0.599,0.352,0.315,,,
862,0.627,0.363,0.323,,,
863,0.616,0.363,0.323,,,
864,0.663,0.4,0.368,,,
865,0.724,0.459,0.423,,,
866,0.651,0.367,0.331,,,
867,0.611,0.352,0.319,,,
868,0.64,0.384,0.348,,,
869,0.663,0.391,0.36,,,
870,0.635,0.376,0.343,,,
871,0.652,0.399,0.364,,,
872,0.684,0.427,0.396,,,
873,0.723,0.455,0.42,,,
874,0.723,0.451,0.415,,,
875,0.62,0.364,0.327,,,
876,0.668,0.4,0.363,,,
877,0.66,0.396,0.355,,,
878,0.651,0.388,0.352,,,
879,0.759,0.372,0.336,,,
880,0.752,0.483,0.451,,,
881,0.656,0.399,0.363,,,
882,0.635,0.367,0.327,,,
883,0.615,0.355,0.315,,,
884,0.648,0.384,0.351,,,
885,0.644,0.379,0.343,,,
886,0.644,0.387,0.352,,,
887,0.648,0.375,0.336,,,
888,0.663,0.399,0.364,,,
889,0.807,0.411,0.379,,,
890,0.644,0.387,0.355,,,
891,0.692,0.411,0.371,,,
892,0.623,0.359,0.319,,,
893,0.659,0.391,0.355,,,
894,0.664,0.4,0.363,,,
895,0.648,0.379,0.339,,,
896,0.635,0.38,0.343,,,
897,0.827,0.548,0.515,,,
898,0.735,0.475,0.439,,,
899,0.663,0.403,0.367,,,
900,0.696,0.388,0.356,,,
901,0.672,0.399,0.364,,,
902,0.651,0.379,0.339,,,
903,0.756,0.404,0.372,,,
904,0.788,0.524,0.483,,,
905,0.728,0.455,0.424,,,
906,0.675,0.408,0.372,,,
907,0.663,0.396,0.36,,,
908,0.632,0.367,0.331,,,
909,0.692,0.391,0.359,,,
910,0.651,0.384,0.351,,,
911,0.728,0.46,0.423,,,
912,0.728,0.451,0.415,,,
913,0.684,0.408,0.372,,,
914,0.695,0.424,0.388,,,
915,0.699,0.419,0.379,,,
916,0.723,0.411,0.372,,,
917,0.712,0.435,0.395,,,
918,0.675,0.391,0.352,,,
919,0.723,0.451,0.42,,,
920,0.779,0.507,0.468,,,
921,0.699,0.42,0.384,,,
922,0.644,0.375,0.335,,,
923,0.707,0.439,0.403,,,
924,0.644,0.379,0.343,,,
925,0.68,0.412,0.376,,,
926,0.651,0.379,0.339,,,
927,0.656,0.396,0.36,,,
928,0.691,0.412,0.372,,,
929,0.824,0.551,0.516,,,
930,0.671,0.396,0.356,,,
931,0.72,0.439,0.403,,,
932,0.74,0.42,0.38,,,
933,0.723,0.444,0.403,,,
934,0.819,0.411,0.372,,,
935,0.78,0.507,0.467,,,
936,0.687,0.408,0.367,,,
937,0.644,0.371,0.339,,,
938,0.68,0.4,0.363,,,
939,0.696,0.415,0.376,,,
940,0.672,0.391,0.351,,,
941,0.719,0.444,0.407,,,
942,0.664,0.387,0.347,,,
943,0.812,0.527,0.487,,,
944,0.812,0.5,0.46,,,
945,0.716,0.439,0.399,,,
946,0.703,0.415,0.376,,,
947,0.724,0.451,0.411,,,
948,0.711,0.432,0.396,,,
949,0.699,0.412,0.375,,,
950,0.855,0.563,0.528,,,
951,0.772,0.495,0.451,,,
952,0.683,0.384,0.348,,,
953,0.728,0.439,0.399,,,
954,0.743,0.456,0.419,,,
955,0.712,0.436,0.399,,,
956,0.788,0.504,0.463,,,
957,0.859,0.548,0.508,,,
958,0.76,0.463,0.42,,,
959,0.683,0.4,0.36,,,
960,0.74,0.456,0.415,,,
961,0.755,0.451,0.416,,,
962,0.728,0.435,0.399,,,
963,0.788,0.512,0.468,,,
964,0.767,0.456,0.408,,,
965,0.756,0.471,0.432,,,
966,0.692,0.42,0.384,,,
967,0.747,0.471,0.435,,,
968,0.747,0.471,0.432,,,
969,0.711,0.427,0.387,,,
970,0.815,0.531,0.492,,,
971,0.84,0.528,0.487,,,
972,0.671,0.379,0.343,,,
973,0.663,0.384,0.348,,,
974,0.675,0.395,0.356,,,
975,0.68,0.399,0.359,,,
976,0.663,0.391,0.351,,,
977,0.759,0.471,0.436,,,
978,0.788,0.484,0.447,,,
979,0.672,0.388,0.351,,,
980,0.672,0.379,0.343,,,
981,0.695,0.411,0.376,,,
982,0.672,0.379,0.343,,,
983,0.703,0.42,0.379,,,
984,0.816,0.516,0.483,,,
985,0.771,0.459,0.423,,,
986,0.675,0.396,0.359,,,
987,0.675,0.391,0.356,,,
988,0.728,0.415,0.379,,,
989,0.711,0.403,0.367,,,
990,0.764,0.451,0.415,,,
991,0.775,0.468,0.435,,,
992,0.7,0.415,0.379,,,
993,0.704,0.412,0.38,,,
994,0.704,0.399,0.363,,,
995,0.711,0.412,0.38,,,
996,0.68,0.384,0.352,,,
997,0.747,0.439,0.403,,,
998,0.768,0.459,0.427,,,
999,0.743,0.447,0.412,,,
1000,0.744,0.447,0.407,,,
1001,0.683,0.388,0.348,,,
1002,0.699,0.412,0.375,,,
1003,1.112,0.824,0.783,,,
1004,0.763,0.475,0.435,,,
1005,0.779,0.48,0.439,,,
1006,0.732,0.436,0.399,,,
1007,0.695,0.399,0.364,,,
1008,0.711,0.411,0.379,,,
1009,0.659,0.372,0.331,,,
1010,0.708,0.391,0.355,,,
1011,0.86,0.564,0.524,,,
1012,0.74,0.448,0.408,,,
1013,0.676,0.383,0.348,,,
1014,0.715,0.419,0.384,,,
1015,0.708,0.412,0.372,,,
1016,0.728,0.431,0.399,,,
1017,0.871,0.551,0.512,,,
1018,0.747,0.423,0.387,,,
1019,0.687,0.391,0.356,,,
1020,0.732,0.439,0.403,,,
1021,0.715,0.419,0.384,,,
1022,0.736,0.439,0.399,,,
1023,0.823,0.523,0.487,,,
1024,0.792,0.471,0.431,,,
1025,0.704,0.403,0.36,,,
1026,0.731,0.431,0.396,,,
1027,0.699,0.395,0.359,,,
1028,0.712,0.419,0.379,,,
1029,0.771,0.456,0.419,,,
1030,0.755,0.451,0.411,,,
1031,0.812,0.504,0.463,,,
1032,0.731,0.432,0.391,,,
1033,0.735,0.435,0.396,,,
1034,0.759,0.412,0.372,,,
1035,0.724,0.412,0.372,,,
1036,0.779,0.456,0.42,,,
1037,0.879,0.567,0.528,,,
1038,0.716,0.403,0.363,,,
1039,0.699,0.4,0.36,,,
1040,0.735,0.432,0.4,,,
1041,0.707,0.4,0.368,,,
1042,0.744,0.432,0.395,,,
1043,0.835,0.528,0.487,,,
1044,0.764,0.435,0.403,,,
1045,0.759,0.444,0.407,,,
1046,0.756,0.439,0.4,,,
1047,0.779,0.456,0.411,,,
1048,0.747,0.435,0.4,,,
1049,0.72,0.415,0.375,,,
1050,0.875,0.563,0.524,,,
1051,0.819,0.495,0.456,,,
1052,0.78,0.475,0.432,,,
1053,0.795,0.492,0.447,,,
1054,0.788,0.475,0.436,,,
1055,0.831,0.528,0.487,,,
1056,0.879,0.587,0.544,,,
1057,0.903,0.584,0.544,,,
1058,0.812,0.507,0.463,,,
1059,0.844,0.532,0.495,,,
1060,0.819,0.512,0.468,,,
1061,0.791,0.468,0.42,,,
1062,0.931,0.624,0.579,,,
1063,0.932,0.588,0.548,,,
1064,0.808,0.5,0.459,,,
1065,0.771,0.463,0.423,,,
1066,0.851,0.531,0.491,,,
1067,0.767,0.459,0.419,,,
1068,0.923,0.608,0.564,,,
1069,0.851,0.507,0.468,,,
1070,0.815,0.507,0.463,,,
1071,0.88,0.543,0.5,,,
1072,0.792,0.471,0.427,,,
1073,0.8,0.483,0.44,,,
1074,0.824,0.508,0.468,,,
1075,0.932,0.623,0.58,,,
1076,0.863,0.531,0.487,,,
1077,0.799,0.472,0.432,,,
1078,0.783,0.455,0.415,,,
1079,0.824,0.519,0.475,,,
1080,0.867,0.54,0.5,,,
1081,0.884,0.567,0.519,,,
1082,0.956,0.623,0.58,,,
1083,0.875,0.548,0.495,,,
1084,0.887,0.544,0.5,,,
1085,0.863,0.519,0.475,,,
1086,0.803,0.475,0.432,,,
1087,0.804,0.483,0.439,,,
1088,1.04,0.711,0.668,,,
1089,0.836,0.496,0.456,,,
1090,0.791,0.472,0.427,,,
1091,0.824,0.504,0.459,,,
1092,0.864,0.543,0.5,,,
1093,0.947,0.62,0.576,,,
1094,0.867,0.536,0.495,,,
1095,0.915,0.591,0.548,,,
1096,0.867,0.543,0.495,,,
1097,0.884,0.548,0.503,,,
1098,0.875,0.543,0.5,,,
1099,1.,0.648,0.603,,,
1100,0.948,0.603,0.563,,,
1101,0.771,0.443,0.4,,,
1102,0.807,0.483,0.444,,,
1103,0.824,0.5,0.456,,,
1104,0.864,0.543,0.5,,,
1105,0.848,0.519,0.475,,,
1106,1.064,0.72,0.672,,,
1107,0.895,0.544,0.5,,,
1108,0.939,0.579,0.539,,,
1109,0.883,0.531,0.495,,,
1110,0.863,0.54,0.495,,,
1111,0.815,0.483,0.439,,,
1112,0.987,0.656,0.612,,,
1113,0.944,0.596,0.551,,,
1114,0.812,0.484,0.435,,,
1115,0.867,0.544,0.491,,,
1116,0.831,0.495,0.448,,,
1117,0.86,0.54,0.487,,,
1118,0.927,0.592,0.543,,,
1119,0.927,0.564,0.516,,,
1120,0.911,0.587,0.54,,,
1121,0.887,0.543,0.495,,,
1122,0.819,0.484,0.435,,,
1123,0.86,0.528,0.48,,,
1124,0.879,0.539,0.495,,,
1125,0.84,0.487,0.443,,,
1126,1.091,0.748,0.704,,,
1127,0.892,0.548,0.504,,,
1128,0.864,0.528,0.479,,,
1129,0.903,0.563,0.519,,,
1130,0.855,0.516,0.471,,,
1131,0.851,0.515,0.475,,,
1132,0.932,0.6,0.552,,,
1133,0.968,0.635,0.592,,,
1134,0.803,0.455,0.412,,,
1135,0.875,0.54,0.488,,,
1136,0.892,0.548,0.504,,,
1137,0.875,0.54,0.492,,,
1138,0.895,0.552,0.504,,,
1139,0.939,0.6,0.555,,,
1140,0.983,0.648,0.596,,,
1141,0.884,0.539,0.491,,,
1142,0.887,0.543,0.5,,,
1143,0.899,0.563,0.519,,,
1144,0.884,0.536,0.491,,,
1145,0.936,0.591,0.544,,,
1146,1.,0.663,0.62,,,
1147,0.887,0.548,0.503,,,
1148,0.919,0.58,0.535,,,
1149,0.903,0.556,0.504,,,
1150,1.072,0.699,0.648,,,
1151,0.96,0.608,0.567,,,
1152,0.903,0.567,0.524,,,
1153,0.864,0.504,0.451,,,
1154,0.903,0.548,0.503,,,
1155,0.888,0.535,0.492,,,
1156,1.063,0.72,0.676,,,
1157,0.927,0.548,0.5,,,
1158,0.844,0.5,0.451,,,
1159,0.888,0.539,0.496,,,
1160,0.843,0.507,0.463,,,
1161,0.891,0.548,0.5,,,
1162,0.912,0.555,0.512,,,
1163,1.036,0.692,0.644,,,
1164,0.94,0.596,0.552,,,
1165,0.911,0.576,0.532,,,
1166,0.923,0.56,0.512,,,
1167,0.947,0.596,0.548,,,
1168,0.911,0.535,0.487,,,
1169,0.947,0.591,0.548,,,
1170,0.915,0.56,0.515,,,
1171,0.86,0.504,0.46,,,
1172,0.86,0.48,0.439,,,
1173,0.84,0.495,0.451,,,
1174,0.903,0.559,0.515,,,
1175,0.975,0.603,0.551,,,
1176,0.883,0.512,0.468,,,
1177,0.847,0.504,0.463,,,
1178,0.872,0.519,0.475,,,
1179,0.879,0.524,0.48,,,
1180,1.043,0.68,0.639,,,
1181,0.863,0.475,0.432,,,
1182,0.855,0.5,0.456,,,
1183,0.884,0.519,0.475,,,
1184,0.868,0.508,0.464,,,
1185,0.995,0.639,0.596,,,
1186,0.888,0.519,0.475,,,
1187,0.851,0.5,0.451,,,
1188,0.864,0.511,0.471,,,
1189,0.868,0.508,0.464,,,
1190,0.968,0.612,0.572,,,
1191,0.984,0.603,0.559,,,
1192,0.867,0.507,0.463,,,
1193,0.872,0.504,0.46,,,
1194,0.903,0.552,0.508,,,
1195,0.932,0.567,0.524,,,
1196,0.96,0.604,0.556,,,
1197,0.827,0.475,0.436,,,
1198,0.863,0.495,0.451,,,
1199,0.908,0.531,0.487,,,
1200,0.872,0.5,0.456,,,
1201,0.967,0.6,0.555,,,
1202,0.943,0.58,0.532,,,
1203,0.863,0.504,0.463,,,
1204,0.908,0.536,0.491,,,
1205,0.899,0.528,0.48,,,
1206,0.96,0.572,0.527,,,
1207,0.943,0.572,0.527,,,
1208,0.884,0.527,0.484,,,
1209,0.912,0.535,0.487,,,
1210,0.908,0.536,0.492,,,
1211,0.896,0.524,0.48,,,
1212,1.072,0.699,0.652,,,
1213,0.919,0.507,0.46,,,
1214,0.927,0.552,0.504,,,
1215,0.915,0.548,0.504,,,
1216,1.323,0.932,0.887,,,
1217,1.079,0.716,0.668,,,
1218,0.855,0.467,0.423,,,
1219,0.827,0.46,0.419,,,
1220,0.876,0.495,0.456,,,
1221,0.896,0.535,0.484,,,
1222,0.971,0.596,0.548,,,
1223,1.056,0.631,0.587,,,
1224,0.912,0.531,0.492,,,
1225,0.887,0.516,0.471,,,
1226,0.908,0.539,0.5,,,
1227,0.923,0.543,0.5,,,
1228,1.044,0.671,0.628,,,
1229,0.968,0.552,0.504,,,
1230,0.923,0.548,0.504,,,
1231,0.947,0.564,0.516,,,
1232,0.891,0.504,0.463,,,
1233,0.96,0.548,0.507,,,
1234,1.056,0.659,0.611,,,
1235,0.908,0.528,0.484,,,
1236,0.875,0.492,0.447,,,
1237,0.871,0.5,0.451,,,
1238,0.895,0.508,0.459,,,
1239,0.923,0.555,0.507,,,
1240,1.067,0.683,0.64,,,
1241,0.971,0.58,0.532,,,
1242,0.908,0.511,0.463,,,
1243,0.923,0.552,0.504,,,
1244,0.907,0.519,0.471,,,
1245,0.923,0.54,0.495,,,
1246,1.052,0.648,0.6,,,
1247,0.956,0.583,0.536,,,
1248,0.899,0.508,0.46,,,
1249,0.884,0.495,0.451,,,
1250,0.895,0.507,0.463,,,
1251,0.939,0.564,0.515,,,
1252,1.076,0.683,0.639,,,
1253,0.988,0.6,0.551,,,
1254,0.956,0.548,0.504,,,
1255,0.927,0.543,0.5,,,
1256,0.923,0.539,0.495,,,
1257,0.908,0.527,0.484,,,
1258,1.111,0.727,0.683,,,
1259,0.903,0.511,0.464,,,
1260,0.911,0.524,0.475,,,
1261,0.956,0.564,0.516,,,
1262,0.919,0.507,0.464,,,
1263,1.08,0.696,0.647,,,
1264,1.048,0.627,0.575,,,
1265,0.963,0.575,0.528,,,
1266,0.956,0.528,0.48,,,
1267,0.924,0.511,0.468,,,
1268,0.943,0.555,0.507,,,
1269,1.131,0.744,0.699,,,
1270,0.927,0.507,0.46,,,
1271,0.939,0.548,0.504,,,
1272,0.951,0.528,0.48,,,
1273,0.971,0.58,0.535,,,
1274,1.115,0.716,0.663,,,
1275,1.008,0.6,0.552,,,
1276,0.955,0.56,0.512,,,
1277,0.939,0.552,0.504,,,
1278,0.956,0.543,0.495,,,
1279,0.932,0.543,0.495,,,
1280,1.103,0.704,0.659,,,
1281,0.987,0.596,0.548,,,
1282,0.963,0.548,0.5,,,
1283,0.98,0.584,0.536,,,
1284,0.951,0.548,0.5,,,
1285,1.155,0.735,0.683,,,
1286,0.947,0.543,0.5,,,
1287,0.988,0.584,0.539,,,
1288,1.004,0.576,0.527,,,
1289,0.959,0.567,0.524,,,
1290,1.123,0.683,0.632,,,
1291,1.039,0.636,0.583,,,
1292,0.995,0.6,0.551,,,
1293,1.012,0.583,0.535,,,
1294,1.,0.567,0.524,,,
1295,1.103,0.68,0.632,,,
1296,0.987,0.584,0.532,,,
1297,0.995,0.58,0.536,,,
1298,0.975,0.567,0.524,,,
1299,1.371,0.556,0.507,,,
1300,1.091,0.672,0.623,,,
1301,1.028,0.624,0.575,,,
1302,0.975,0.548,0.495,,,
1303,0.951,0.548,0.5,,,
1304,0.995,0.572,0.519,,,
1305,1.187,0.783,0.735,,,
1306,1.,0.58,0.528,,,
1307,0.984,0.567,0.52,,,
1308,0.995,0.596,0.548,,,
1309,1.171,0.768,0.724,,,
1310,0.995,0.567,0.511,,,
1311,0.967,0.563,0.516,,,
1312,0.98,0.555,0.504,,,
1313,1.175,0.755,0.707,,,
1314,1.076,0.624,0.572,,,
1315,0.964,0.555,0.507,,,
1316,0.987,0.575,0.528,,,
1317,0.987,0.552,0.503,,,
1318,1.063,0.663,0.611,,,
1319,1.135,0.7,0.648,,,
1320,1.004,0.572,0.524,,,
1321,0.991,0.587,0.536,,,
1322,1.008,0.563,0.511,,,
1323,1.023,0.603,0.555,,,
1324,1.216,0.791,0.744,,,
1325,0.996,0.556,0.508,,,
1326,1.028,0.611,0.559,,,
1327,1.019,0.608,0.559,,,
1328,1.079,0.656,0.604,,,
1329,1.148,0.74,0.692,,,
1330,0.991,0.567,0.515,,,
1331,1.028,0.6,0.552,,,
1332,1.06,0.615,0.563,,,
1333,1.024,0.604,0.559,,,
1334,1.211,0.792,0.744,,,
1335,1.039,0.599,0.548,,,
1336,1.,0.563,0.515,,,
1337,1.019,0.608,0.559,,,
1338,1.124,0.696,0.647,,,
1339,1.072,0.635,0.583,,,
1340,1.035,0.599,0.548,,,
1341,1.,0.576,0.524,,,
1342,1.015,0.604,0.555,,,
1343,1.179,0.732,0.684,,,
1344,1.059,0.644,0.596,,,
1345,1.048,0.587,0.535,,,
1346,0.995,0.572,0.524,,,
1347,1.048,0.603,0.556,,,
1348,1.072,0.639,0.591,,,
1349,1.135,0.7,0.651,,,
1350,1.011,0.6,0.552,,,
1351,1.,0.567,0.515,,,
1352,1.063,0.628,0.567,,,
1353,1.067,0.62,0.572,,,
1354,1.244,0.796,0.744,,,
1355,1.032,0.608,0.56,,,
1356,1.039,0.591,0.544,,,
1357,1.072,0.635,0.584,,,
1358,1.1,0.659,0.612,,,
1359,1.144,0.708,0.656,,,
1360,1.036,0.615,0.563,,,
1361,1.067,0.632,0.584,,,
1362,1.051,0.635,0.584,,,
1363,1.207,0.775,0.723,,,
1364,1.072,0.615,0.563,,,
1365,1.059,0.639,0.587,,,
1366,1.076,0.639,0.584,,,
1367,1.216,0.779,0.727,,,
1368,1.083,0.624,0.572,,,
1369,1.063,0.615,0.563,,,
1370,1.067,0.631,0.579,,,
1371,1.063,0.624,0.572,,,
1372,1.248,0.823,0.767,,,
1373,1.043,0.619,0.567,,,
1374,1.072,0.603,0.556,,,
1375,1.072,0.632,0.58,,,
1376,1.268,0.815,0.767,,,
1377,1.012,0.556,0.508,,,
1378,1.064,0.627,0.579,,,
1379,1.043,0.567,0.519,,,
1380,1.08,0.632,0.576,,,
1381,1.288,0.84,0.783,,,
1382,1.112,0.631,0.579,,,
1383,1.067,0.615,0.563,,,
1384,1.088,0.644,0.591,,,
1385,1.224,0.752,0.7,,,
1386,1.059,0.615,0.564,,,
1387,1.091,0.635,0.58,,,
1388,1.08,0.628,0.576,,,
1389,1.155,0.72,0.671,,,
1390,1.264,0.783,0.728,,,
1391,1.083,0.596,0.548,,,
1392,1.091,0.639,0.587,,,
1393,1.076,0.627,0.575,,,
1394,1.176,0.74,0.683,,,
1395,1.172,0.703,0.651,,,
1396,1.084,0.639,0.587,,,
1397,1.103,0.668,0.62,,,
1398,1.168,0.703,0.651,,,
1399,1.24,0.78,0.724,,,
1400,1.019,0.56,0.512,,,
1401,1.108,0.656,0.6,,,
1402,1.091,0.627,0.576,,,
1403,1.088,0.611,0.559,,,
1404,1.303,0.831,0.771,,,
1405,1.075,0.62,0.567,,,
1406,1.111,0.655,0.6,,,
1407,1.084,0.643,0.591,,,
1408,1.247,0.772,0.72,,,
1409,1.139,0.687,0.636,,,
1410,1.12,0.66,0.608,,,
1411,1.12,0.656,0.604,,,
1412,1.144,0.675,0.628,,,
1413,1.231,0.743,0.688,,,
1414,1.067,0.612,0.56,,,
1415,1.128,0.679,0.627,,,
1416,1.148,0.676,0.62,,,
1417,1.024,0.584,0.532,,,
1418,1.276,0.783,0.732,,,
1419,1.168,0.668,0.611,,,
1420,1.128,0.676,0.624,,,
1421,1.127,0.659,0.603,,,
1422,1.143,0.675,0.624,,,
1423,1.279,0.816,0.755,,,
1424,1.111,0.671,0.624,,,
1425,1.131,0.675,0.619,,,
1426,1.216,0.764,0.712,,,
1427,1.231,0.752,0.696,,,
1428,1.131,0.672,0.62,,,
1429,1.12,0.628,0.584,,,
1430,1.187,0.724,0.659,,,
1431,1.227,0.723,0.672,,,
1432,1.144,0.632,0.576,,,
1433,1.084,0.62,0.568,,,
1434,1.151,0.679,0.623,,,
1435,1.203,0.723,0.671,,,
1436,1.319,0.855,0.796,,,
1437,1.132,0.664,0.612,,,
1438,1.144,0.676,0.628,,,
1439,1.107,0.648,0.596,,,
1440,1.263,0.772,0.72,,,
1441,1.203,0.711,0.655,,,
1442,1.12,0.648,0.596,,,
1443,1.144,0.675,0.62,,,
1444,1.12,0.647,0.591,,,
1445,1.359,0.887,0.836,,,
1446,1.127,0.639,0.587,,,
1447,1.163,0.656,0.596,,,
1448,1.123,0.668,0.615,,,
1449,1.287,0.784,0.732,,,
1450,1.223,0.707,0.651,,,
1451,1.132,0.659,0.607,,,
1452,1.091,0.632,0.58,,,
1453,1.275,0.764,0.707,,,
1454,1.259,0.768,0.72,,,
1455,1.115,0.651,0.599,,,
1456,1.196,0.711,0.651,,,
1457,1.192,0.687,0.639,,,
1458,1.771,1.292,1.24,,,
1459,1.232,0.751,0.699,,,
1460,1.076,0.6,0.548,,,
1461,1.203,0.684,0.624,,,
1462,1.172,0.652,0.6,,,
1463,1.375,0.908,0.855,,,
1464,1.144,0.656,0.6,,,
1465,1.172,0.687,0.632,,,
1466,1.152,0.66,0.608,,,
1467,1.315,0.799,0.74,,,
1468,1.103,0.62,0.567,,,
1469,1.184,0.675,0.62,,,
1470,1.176,0.711,0.651,,,
1471,1.244,0.744,0.692,,,
1472,1.388,0.86,0.803,,,
1473,1.111,0.628,0.576,,,
1474,1.18,0.695,0.644,,,
1475,1.179,0.696,0.644,,,
1476,1.307,0.816,0.755,,,
1477,1.128,0.655,0.6,,,
1478,1.176,0.7,0.648,,,
1479,1.211,0.712,0.656,,,
1480,1.299,0.815,0.759,,,
1481,1.288,0.799,0.744,,,
1482,1.175,0.671,0.62,,,
1483,1.12,0.647,0.596,,,
1484,1.176,0.668,0.615,,,
1485,1.268,0.792,0.735,,,
1486,1.244,0.724,0.672,,,
1487,1.219,0.692,0.635,,,
1488,1.32,0.807,0.747,,,
1489,1.223,0.747,0.692,,,
1490,1.488,0.955,0.896,,,
1491,1.271,0.8,0.74,,,
