n,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite_strat(bottomup),cbv;rewrite_strat(topdown),cbv;setoid_rewrite
130,0.195,0.055,0.039,,,3.171
131,0.188,0.059,0.039,,,3.275
132,0.195,0.06,0.036,,,3.244
133,0.2,0.059,0.04,,,3.183
134,0.192,0.055,0.039,,,3.259
135,0.211,0.068,0.052,,,3.388
136,0.192,0.059,0.043,,,3.387
137,0.2,0.056,0.04,,,3.487
138,0.199,0.06,0.039,,,3.656
139,0.195,0.06,0.04,,,3.787
140,0.196,0.06,0.044,,,3.872
141,0.211,0.067,0.055,,,3.864
142,0.208,0.067,0.051,,,3.848
143,0.204,0.064,0.048,,,3.972
144,0.203,0.064,0.044,,,4.008
145,0.199,0.064,0.048,,,4.107
146,0.204,0.067,0.051,,,4.252
147,0.2,0.064,0.048,,,4.424
148,0.211,0.071,0.055,,,4.508
149,0.204,0.067,0.048,,,4.5
150,0.199,0.064,0.044,,,4.508
151,0.207,0.064,0.051,,,4.539
152,0.196,0.064,0.047,,,4.623
153,0.208,0.068,0.051,,,4.752
154,0.196,0.064,0.048,,,4.955
155,0.211,0.068,0.051,,,5.112
156,0.196,0.059,0.043,,,5.087
157,0.211,0.071,0.056,,,5.103
158,0.204,0.068,0.052,,,5.252
159,0.2,0.064,0.048,,,5.3
160,0.196,0.059,0.048,,,5.475
161,0.204,0.064,0.048,,,5.656
162,0.192,0.064,0.047,,,5.828
163,0.208,0.068,0.051,,,5.74
164,0.207,0.071,0.051,,,5.744
165,0.207,0.067,0.051,,,5.832
166,0.199,0.064,0.051,,,5.955
167,0.207,0.071,0.051,,,6.184
168,0.207,0.067,0.051,,,6.427
169,0.207,0.064,0.048,,,6.36
170,0.207,0.067,0.048,,,6.355
171,0.196,0.064,0.048,,,6.467
172,0.199,0.059,0.048,,,6.68
173,0.215,0.068,0.056,,,6.967
174,0.199,0.067,0.051,,,6.932
175,0.211,0.071,0.056,,,6.903
176,0.211,0.071,0.052,,,7.015
177,0.211,0.075,0.059,,,7.144
178,0.224,0.079,0.064,,,7.412
179,0.211,0.076,0.055,,,7.723
180,0.207,0.071,0.056,,,7.592
181,0.219,0.076,0.059,,,7.659
182,0.215,0.076,0.051,,,7.72
183,0.204,0.072,0.056,,,8.096
184,0.22,0.071,0.056,,,8.36
185,0.207,0.071,0.055,,,8.252
186,0.224,0.076,0.064,,,8.252
187,0.224,0.08,0.056,,,8.3
188,0.207,0.067,0.051,,,8.704
189,0.224,0.076,0.059,,,9.012
190,0.219,0.079,0.059,,,8.848
191,0.243,0.083,0.056,,,8.703
192,0.228,0.076,0.059,,,8.843
193,0.215,0.076,0.06,,,9.375
194,0.228,0.08,0.059,,,9.292
195,0.224,0.08,0.056,,,9.264
196,0.211,0.071,0.056,,,9.391
197,0.227,0.079,0.06,,,9.779
198,0.219,0.083,0.064,,,9.911
199,0.219,0.076,0.055,,,9.788
200,0.219,0.075,0.059,,,10.024
201,0.219,0.079,0.06,,,10.712
202,0.224,0.079,0.064,,,10.792
203,0.216,0.079,0.064,,,10.9
204,0.224,0.079,0.06,,,11.028
205,0.219,0.083,0.06,,,11.211
206,0.215,0.075,0.059,,,11.375
207,0.224,0.079,0.064,,,11.5
208,0.224,0.083,0.064,,,11.703
209,0.224,0.083,0.064,,,11.864
210,0.235,0.083,0.064,,,11.991
211,0.231,0.083,0.064,,,12.188
212,0.22,0.08,0.064,,,12.032
213,0.228,0.083,0.068,,,12.127
214,0.22,0.08,0.064,,,12.352
215,0.224,0.083,0.068,,,12.512
216,0.216,0.076,0.06,,,12.62
217,0.224,0.08,0.068,,,12.847
218,0.224,0.083,0.064,,,13.015
219,0.219,0.079,0.064,,,13.207
220,0.231,0.088,0.071,,,13.376
221,0.231,0.083,0.064,,,13.536
222,0.232,0.087,0.067,,,13.728
223,0.227,0.083,0.064,,,13.895
224,0.243,0.088,0.067,,,14.056
225,0.235,0.088,0.068,,,14.272
226,0.231,0.088,0.072,,,14.436
227,0.227,0.083,0.064,,,14.635
228,0.235,0.091,0.072,,,15.348
229,0.231,0.084,0.068,,,15.415
230,0.259,0.088,0.072,,,15.628
231,0.243,0.091,0.067,,,15.811
232,0.239,0.091,0.072,,,16.055
233,0.231,0.084,0.064,,,16.084
234,0.256,0.088,0.071,,,16.16
235,0.243,0.091,0.072,,,16.388
236,0.239,0.095,0.076,,,16.588
237,0.235,0.088,0.068,,,16.791
238,0.243,0.091,0.067,,,16.979
239,0.247,0.096,0.076,,,17.216
240,0.24,0.096,0.076,,,17.415
241,0.248,0.091,0.076,,,17.631
242,0.243,0.088,0.072,,,17.836
243,0.26,0.095,0.079,,,18.012
244,0.247,0.096,0.079,,,18.312
245,0.244,0.095,0.076,,,18.464
246,0.243,0.091,0.076,,,18.748
247,0.24,0.092,0.071,,,18.891
248,0.236,0.088,0.071,,,19.175
249,0.243,0.096,0.076,,,19.411
250,0.243,0.096,0.08,,,19.639
251,0.243,0.099,0.076,,,19.863
252,0.243,0.091,0.076,,,20.147
253,0.243,0.095,0.079,,,20.339
254,0.247,0.091,0.08,,,20.524
255,0.239,0.091,0.076,,,20.768
256,0.239,0.091,0.072,,,20.972
257,0.239,0.091,0.076,,,21.259
258,0.251,0.095,0.076,,,21.467
259,0.247,0.095,0.076,,,21.704
260,0.243,0.103,0.079,,,21.884
261,0.251,0.1,0.079,,,22.04
262,0.239,0.095,0.076,,,22.235
263,0.243,0.091,0.075,,,22.392
264,0.24,0.091,0.076,,,22.659
265,0.256,0.103,0.079,,,22.915
266,0.251,0.1,0.08,,,23.183
267,0.251,0.1,0.084,,,23.456
268,0.251,0.103,0.084,,,23.703
269,0.251,0.103,0.079,,,23.971
270,0.251,0.1,0.08,,,24.256
271,0.252,0.1,0.076,,,24.531
272,0.248,0.096,0.08,,,24.796
273,0.26,0.111,0.091,,,25.051
274,0.26,0.103,0.084,,,25.319
275,0.252,0.1,0.079,,,25.619
276,0.252,0.1,0.079,,,25.903
277,0.268,0.103,0.079,,,26.184
278,0.264,0.095,0.079,,,26.483
279,0.259,0.107,0.091,,,26.788
280,0.268,0.103,0.084,,,26.971
281,0.28,0.107,0.088,,,27.228
282,0.28,0.108,0.087,,,27.528
283,0.256,0.103,0.091,,,27.844
284,0.264,0.112,0.096,,,28.111
285,0.263,0.112,0.092,,,28.448
286,0.259,0.111,0.095,,,28.764
287,0.276,0.115,0.096,,,29.039
288,0.276,0.112,0.088,,,29.327
289,0.271,0.111,0.091,,,29.675
290,0.267,0.115,0.096,,,29.956
291,0.256,0.107,0.088,,,30.231
292,0.259,0.103,0.088,,,30.6
293,0.256,0.103,0.079,,,30.975
294,0.259,0.107,0.088,,,31.279
295,0.259,0.108,0.088,,,31.604
296,0.256,0.1,0.083,,,31.932
